time,cores,delays
0,324526,0
100,324526,0
200,324526,0
300,324512,0
400,324512,0
500,324512,0
600,324312,0
700,324312,0
800,324312,0
900,324241,0
1000,324241,0
1100,324241,0
1200,324169,0
1300,324169,0
1400,324169,0
1500,323575,0
1600,323575,0
1700,323575,0
1800,323465,0
1900,323465,0
2000,323465,0
2100,323455,0
2200,323455,0
2300,323455,0
2400,323483,0
2500,323483,0
2600,323483,0
2700,323400,0
2800,323400,0
2900,323400,0
3000,323466,0
3100,323466,0
3200,323466,0
3300,323400,0
3400,323400,0
3500,323400,0
3600,323295,67
3700,323295,0
3800,323295,0
3900,323205,0
4000,323205,0
4100,323205,0
4200,323064,0
4300,323064,0
4400,323064,0
4500,322964,0
4600,322964,0
4700,322964,0
4800,323000,0
4900,323000,0
5000,323000,0
5100,322997,0
5200,322997,0
5300,322997,0
5400,323382,0
5500,323382,0
5600,323382,0
5700,323577,0
5800,323577,0
5900,323577,0
6000,323583,0
6100,323583,0
6200,323583,0
6300,323584,0
6400,323584,0
6500,323584,0
6600,323619,0
6700,323619,0
6800,323619,0
6900,323492,0
7000,323492,0
7100,323492,0
7200,323234,67
7300,323234,0
7400,323234,0
7500,323347,0
7600,323347,0
7700,323347,0
7800,323053,0
7900,323053,0
8000,323053,0
8100,322634,0
8200,322634,0
8300,322634,0
8400,323069,0
8500,323069,0
8600,323069,0
8700,323137,0
8800,323137,0
8900,323137,0
9000,323549,0
9100,323549,0
9200,323549,0
9300,323766,0
9400,323766,0
9500,323766,0
9600,323545,0
9700,323545,0
9800,323545,0
9900,323570,0
10000,323570,0
10100,323570,0
10200,323593,0
10300,323593,0
10400,323593,0
10500,323724,0
10600,323724,0
10700,323724,0
10800,323331,69
10900,323331,0
11000,323331,0
11100,323551,0
11200,323551,0
11300,323551,0
11400,323315,0
11500,323315,0
11600,323315,0
11700,323080,0
11800,323080,0
11900,323080,0
12000,322959,0
12100,322959,0
12200,322959,0
12300,322891,0
12400,322891,0
12500,322891,0
12600,322768,0
12700,322768,0
12800,322768,0
12900,322812,0
13000,322812,0
13100,322812,0
13200,322658,0
13300,322658,0
13400,322658,0
13500,322641,0
13600,322641,0
13700,322641,0
13800,322662,0
13900,322662,0
14000,322662,0
14100,322514,0
14200,322514,0
14300,322514,0
14400,322195,50
14500,322195,0
14600,322195,0
14700,322205,0
14800,322205,0
14900,322205,0
15000,322098,0
15100,322098,0
15200,322098,0
15300,322039,0
15400,322039,0
15500,322039,0
15600,321938,0
15700,321938,0
15800,321938,0
15900,321930,0
16000,321930,0
16100,321930,0
16200,321972,0
16300,321972,0
16400,321972,0
16500,322118,0
16600,322118,0
16700,322118,0
16800,322311,0
16900,322311,0
17000,322311,0
17100,322252,0
17200,322252,0
17300,322252,0
17400,322244,0
17500,322244,0
17600,322244,0
17700,322135,0
17800,322135,0
17900,322135,0
18000,321933,74
18100,321933,0
18200,321933,0
18300,322325,0
18400,322325,0
18500,322325,0
18600,322252,0
18700,322252,0
18800,322252,0
18900,322401,0
19000,322401,0
19100,322401,0
19200,322356,0
19300,322356,0
19400,322356,0
19500,322928,0
19600,322928,0
19700,322928,0
19800,322621,0
19900,322621,0
20000,322621,0
20100,322625,0
20200,322625,0
20300,322625,0
20400,322926,0
20500,322926,0
20600,322926,0
20700,322944,0
20800,322944,0
20900,322944,0
21000,322434,0
21100,322434,0
21200,322434,0
21300,322893,0
21400,322893,0
21500,322893,0
21600,322639,166
21700,322639,0
21800,322639,0
21900,323131,0
22000,323131,0
22100,323131,0
22200,323297,0
22300,323297,0
22400,323297,0
22500,323358,0
22600,323358,0
22700,323358,0
22800,324197,0
22900,324197,0
23000,324197,0
23100,323751,0
23200,323751,0
23300,323751,0
23400,325006,0
23500,325006,0
23600,325006,0
23700,325205,0
23800,325205,0
23900,325205,0
24000,324396,0
24100,324396,0
24200,324396,0
24300,324518,0
24400,324518,0
24500,324518,0
24600,324676,0
24700,324676,0
24800,324676,0
24900,324716,0
25000,324716,0
25100,324716,0
25200,324413,85
25300,324413,0
25400,324413,0
25500,324714,0
25600,324714,0
25700,324714,0
25800,325067,0
25900,325067,0
26000,325067,0
26100,325005,0
26200,325005,0
26300,325005,0
26400,324869,0
26500,324869,0
26600,324869,0
26700,324920,0
26800,324920,0
26900,324920,0
27000,324314,0
27100,324314,0
27200,324314,0
27300,324194,0
27400,324194,0
27500,324194,0
27600,324247,0
27700,324247,0
27800,324247,0
27900,324298,0
28000,324298,0
28100,324298,0
28200,324153,0
28300,324153,0
28400,324153,0
28500,324191,0
28600,324191,0
28700,324191,0
28800,323910,89
28900,323910,0
29000,323910,0
29100,324192,0
29200,324192,0
29300,324192,0
29400,324019,0
29500,324019,0
29600,324019,0
29700,323998,0
29800,323998,0
29900,323998,0
30000,322916,0
30100,322916,0
30200,322916,0
30300,322710,0
30400,322710,0
30500,322710,0
30600,322769,0
30700,322769,0
30800,322769,0
30900,322617,0
31000,322617,0
31100,322617,0
31200,322423,0
31300,322423,0
31400,322423,0
31500,322178,0
31600,322178,0
31700,322178,0
31800,321993,0
31900,321993,0
32000,321993,0
32100,321966,0
32200,321966,0
32300,321966,0
32400,321443,156
32500,321443,0
32600,321443,0
32700,321612,0
32800,321612,0
32900,321612,0
33000,321585,0
33100,321585,0
33200,321585,0
33300,321574,0
33400,321574,0
33500,321574,0
33600,321626,0
33700,321626,0
33800,321626,0
33900,321694,0
34000,321694,0
34100,321694,0
34200,322094,0
34300,322094,0
34400,322094,0
34500,322346,0
34600,322346,0
34700,322346,0
34800,322450,0
34900,322450,0
35000,322450,0
35100,322724,0
35200,322724,0
35300,322724,0
35400,323107,0
35500,323107,0
35600,323107,0
35700,322968,0
35800,322968,0
35900,322968,0
36000,322678,188
36100,322678,0
36200,322678,0
36300,323443,0
36400,323443,0
36500,323443,0
36600,323429,0
36700,323429,0
36800,323429,0
36900,323457,0
37000,323457,0
37100,323457,0
37200,323606,0
37300,323606,0
37400,323606,0
37500,323481,0
37600,323481,0
37700,323481,0
37800,323281,0
37900,323281,0
38000,323281,0
38100,323122,0
38200,323122,0
38300,323122,0
38400,322890,0
38500,322890,0
38600,322890,0
38700,322927,0
38800,322927,0
38900,322927,0
39000,323236,0
39100,323236,0
39200,323236,0
39300,323394,0
39400,323394,0
39500,323394,0
39600,323163,110
39700,323163,0
39800,323163,0
39900,323427,0
40000,323427,0
40100,323427,0
40200,323564,0
40300,323564,0
40400,323564,0
40500,323804,0
40600,323804,0
40700,323804,0
40800,323454,0
40900,323454,0
41000,323454,0
41100,323322,0
41200,323322,0
41300,323322,0
41400,323398,0
41500,323398,0
41600,323398,0
41700,323577,0
41800,323577,0
41900,323577,0
42000,323711,0
42100,323711,0
42200,323711,0
42300,323729,0
42400,323729,0
42500,323729,0
42600,323698,0
42700,323698,0
42800,323698,0
42900,323697,0
43000,323697,0
43100,323697,0
43200,323518,135
43300,323518,0
43400,323518,0
43500,324153,0
43600,324153,0
43700,324153,0
43800,324119,0
43900,324119,0
44000,324119,0
44100,324207,0
44200,324207,0
44300,324207,0
44400,324345,0
44500,324345,0
44600,324345,0
44700,324347,0
44800,324347,0
44900,324347,0
45000,324570,0
45100,324570,0
45200,324570,0
45300,325078,0
45400,325078,0
45500,325078,0
45600,325026,0
45700,325026,0
45800,325026,0
45900,324877,0
46000,324877,0
46100,324877,0
46200,324357,0
46300,324357,0
46400,324357,0
46500,324407,0
46600,324407,0
46700,324407,0
46800,324021,97
46900,324021,0
47000,324021,0
47100,324198,0
47200,324198,0
47300,324198,0
47400,324150,0
47500,324150,0
47600,324150,0
47700,323959,0
47800,323959,0
47900,323959,0
48000,323817,0
48100,323817,0
48200,323817,0
48300,323849,0
48400,323849,0
48500,323849,0
48600,323942,0
48700,323942,0
48800,323942,0
48900,323997,0
49000,323997,0
49100,323997,0
49200,324083,0
49300,324083,0
49400,324083,0
49500,323993,0
49600,323993,0
49700,323993,0
49800,323986,0
49900,323986,0
50000,323986,0
50100,323852,0
50200,323852,0
50300,323852,0
50400,323601,92
50500,323601,0
50600,323601,0
50700,323879,0
50800,323879,0
50900,323879,0
51000,323866,0
51100,323866,0
51200,323866,0
51300,323895,0
51400,323895,0
51500,323895,0
51600,323973,0
51700,323973,0
51800,323973,0
51900,323967,0
52000,323967,0
52100,323967,0
52200,324185,0
52300,324185,0
52400,324185,0
52500,324448,0
52600,324448,0
52700,324448,0
52800,324842,0
52900,324842,0
53000,324842,0
53100,325213,0
53200,325213,0
53300,325213,0
53400,326695,0
53500,326695,0
53600,326695,0
53700,326942,0
53800,326942,0
53900,326942,0
54000,326765,92
54100,326765,0
54200,326765,0
54300,327144,0
54400,327144,0
54500,327144,0
54600,327181,0
54700,327181,0
54800,327181,0
54900,327173,0
55000,327173,0
55100,327173,0
55200,326812,0
55300,326812,0
55400,326812,0
55500,327041,0
55600,327041,0
55700,327041,0
55800,327564,0
55900,327564,0
56000,327564,0
56100,327924,0
56200,327924,0
56300,327924,0
56400,327904,0
56500,327904,0
56600,327904,0
56700,327356,0
56800,327356,0
56900,327356,0
57000,326856,0
57100,326856,0
57200,326856,0
57300,326713,0
57400,326713,0
57500,326713,0
57600,325986,146
57700,325986,0
57800,325986,0
57900,325526,0
58000,325526,0
58100,325526,0
58200,325493,0
58300,325493,0
58400,325493,0
58500,325466,0
58600,325466,0
58700,325466,0
58800,325414,0
58900,325414,0
59000,325414,0
59100,325509,0
59200,325509,0
59300,325509,0
59400,325489,0
59500,325489,0
59600,325489,0
59700,325552,0
59800,325552,0
59900,325552,0
60000,325827,0
60100,325827,0
60200,325827,0
60300,325922,0
60400,325922,0
60500,325922,0
60600,325917,0
