,percentage90,percentage85,percentage80,percentage70,percentage60,min,max
0,323833.66666666674,323833.66666666674,323833.66666666674,323824.75,323821.91666666674,"('percentage60',)","('percentage90', 'percentage85', 'percentage80')"
3600,323320.0,323320.0,323320.0,323321.16666666674,323321.91666666674,"('percentage90', 'percentage85', 'percentage80')","('percentage60',)"
7200,323355.75,323355.75,323355.75,323356.5,323356.75,"('percentage90', 'percentage85', 'percentage80')","('percentage60',)"
10800,322940.0,322940.0,322940.0,322940.83333333326,322941.16666666674,"('percentage90', 'percentage85', 'percentage80')","('percentage60',)"
14400,322122.41666666674,322122.41666666674,322122.41666666674,322122.58333333326,322122.66666666674,"('percentage90', 'percentage85', 'percentage80')","('percentage60',)"
18000,322556.0,322556.0,322556.0,322556.0,322556.08333333326,"('percentage90', 'percentage85', 'percentage80', 'percentage70')","('percentage60',)"
21600,324013.33333333326,323990.0,323966.25,323917.83333333326,323899.41666666674,"('percentage60',)","('percentage90',)"
25200,324500.75,324468.91666666674,324465.16666666674,324444.91666666674,324449.66666666674,"('percentage70',)","('percentage90',)"
28800,323031.33333333326,323050.16666666674,323067.08333333326,323068.08333333326,323065.91666666674,"('percentage90',)","('percentage70',)"
32400,322105.41666666674,322107.0,322111.41666666674,322126.5,322128.5,"('percentage90',)","('percentage60',)"
36000,323267.91666666674,323272.25,323272.41666666674,323280.08333333326,323280.0,"('percentage90',)","('percentage70',)"
39600,323545.83333333326,323546.75,323547.16666666674,323549.5,323490.25,"('percentage60',)","('percentage70',)"
43200,324376.0,324339.83333333326,324311.66666666674,324261.41666666674,324230.25,"('percentage60',)","('percentage90',)"
46800,324016.66666666674,324030.08333333326,324039.08333333326,323959.83333333326,323945.58333333326,"('percentage60',)","('percentage80',)"
50400,324477.66666666674,324472.5,324430.83333333326,324363.83333333326,324277.41666666674,"('percentage60',)","('percentage90',)"
54000,327053.83333333326,327056.0,327074.5,327092.75,327113.75,"('percentage90',)","('percentage60',)"
57600,325780.66666666674,325778.83333333326,325777.83333333326,325762.25,325696.58333333326,"('percentage60',)","('percentage90',)"
61200,325607.5,325613.83333333326,325617.91666666674,325651.5,325557.0,"('percentage60',)","('percentage70',)"
64800,326112.83333333326,326063.83333333326,326049.0,325977.58333333326,325841.91666666674,"('percentage60',)","('percentage90',)"
68400,326989.16666666674,326891.91666666674,326777.33333333326,326827.25,326911.41666666674,"('percentage80',)","('percentage90',)"
72000,327496.08333333326,327567.75,327629.16666666674,327641.08333333326,327663.08333333326,"('percentage90',)","('percentage60',)"
75600,327305.08333333326,327245.08333333326,327252.91666666674,327259.58333333326,327275.41666666674,"('percentage85',)","('percentage90',)"
79200,328347.5,328188.16666666674,328099.41666666674,328016.16666666674,328005.83333333326,"('percentage60',)","('percentage90',)"
82800,326112.41666666674,326306.25,326409.33333333326,326492.08333333326,326590.25,"('percentage90',)","('percentage60',)"
86400,324303.33333333326,324316.83333333326,324327.5,324344.91666666674,324373.25,"('percentage90',)","('percentage60',)"
90000,323834.08333333326,323850.08333333326,323858.75,323872.75,323885.91666666674,"('percentage90',)","('percentage60',)"
93600,323214.91666666674,323229.16666666674,323237.33333333326,323249.16666666674,323265.75,"('percentage90',)","('percentage60',)"
97200,322387.58333333326,322392.25,322397.33333333326,322429.0,322438.41666666674,"('percentage90',)","('percentage60',)"
100800,321769.41666666674,321783.66666666674,321786.66666666674,321801.58333333326,321821.08333333326,"('percentage90',)","('percentage60',)"
104400,321769.08333333326,321770.66666666674,321773.08333333326,321785.33333333326,321795.5,"('percentage90',)","('percentage60',)"
108000,323096.5,323106.0,323110.91666666674,323124.58333333326,323158.16666666674,"('percentage90',)","('percentage60',)"
111600,323120.66666666674,323131.33333333326,323133.25,323139.5,323145.5,"('percentage90',)","('percentage60',)"
115200,323170.91666666674,323178.75,323182.33333333326,323187.41666666674,323213.08333333326,"('percentage90',)","('percentage60',)"
118800,323836.5,323837.83333333326,323841.25,323851.0,323860.83333333326,"('percentage90',)","('percentage60',)"
122400,323982.41666666674,323988.0,323989.5,323992.16666666674,324001.33333333326,"('percentage90',)","('percentage60',)"
126000,324829.66666666674,324830.41666666674,324831.5,324831.91666666674,324837.58333333326,"('percentage90',)","('percentage60',)"
129600,326632.33333333326,326634.83333333326,326635.58333333326,326639.25,326559.33333333326,"('percentage60',)","('percentage70',)"
133200,327091.83333333326,327094.0,327095.5,327101.58333333326,326951.5,"('percentage60',)","('percentage70',)"
136800,327623.25,327624.66666666674,327626.16666666674,327467.66666666674,327298.33333333326,"('percentage60',)","('percentage80',)"
140400,328606.75,328609.41666666674,328426.25,328380.91666666674,328483.08333333326,"('percentage70',)","('percentage85',)"
144000,327671.33333333326,327676.08333333326,327750.16666666674,327605.58333333326,327633.83333333326,"('percentage70',)","('percentage80',)"
147600,327897.66666666674,327898.0,327920.33333333326,327819.41666666674,327844.91666666674,"('percentage70',)","('percentage80',)"
151200,328329.33333333326,328330.58333333326,328282.16666666674,328247.0,328269.33333333326,"('percentage70',)","('percentage85',)"
154800,327933.58333333326,327936.83333333326,327961.41666666674,327880.91666666674,327895.58333333326,"('percentage70',)","('percentage80',)"
158400,328191.58333333326,328193.5,328208.0,328077.25,328088.25,"('percentage70',)","('percentage80',)"
162000,327768.91666666674,327771.66666666674,327770.75,327798.33333333326,327776.25,"('percentage90',)","('percentage70',)"
165600,326436.25,326436.0,326444.58333333326,326574.0,326572.08333333326,"('percentage85',)","('percentage70',)"
169200,325445.41666666674,325447.0,325458.25,325532.16666666674,325583.33333333326,"('percentage90',)","('percentage60',)"
