,interval900,interval1800,interval2700,interval3600,interval7200,min,max
0,323805.08333333326,323825.33333333326,323822.33333333326,323833.66666666674,323833.66666666674,"('interval900',)","('interval3600', 'interval7200')"
3600,323254.83333333326,323276.66666666674,323285.16666666674,323313.5,323320.0,"('interval900',)","('interval7200',)"
7200,323307.58333333326,323325.33333333326,323362.75,323351.75,323349.91666666674,"('interval900',)","('interval2700',)"
10800,322954.41666666674,322946.5,322934.58333333326,322931.83333333326,322940.16666666674,"('interval3600',)","('interval900',)"
14400,322113.66666666674,322123.91666666674,322123.08333333326,322119.75,322117.58333333326,"('interval900',)","('interval1800',)"
18000,322510.0,322536.58333333326,322533.66666666674,322553.16666666674,322557.0,"('interval900',)","('interval7200',)"
21600,324016.5,324037.25,324050.58333333326,324074.16666666674,324068.25,"('interval900',)","('interval3600',)"
25200,324537.83333333326,324565.75,324542.08333333326,324532.08333333326,324539.41666666674,"('interval3600',)","('interval1800',)"
28800,322974.66666666674,322971.08333333326,322982.16666666674,322974.25,322970.5,"('interval7200',)","('interval2700',)"
32400,322008.08333333326,322058.08333333326,322065.75,322101.91666666674,322125.83333333326,"('interval900',)","('interval7200',)"
36000,323232.75,323250.25,323263.66666666674,323245.33333333326,323239.25,"('interval900',)","('interval2700',)"
39600,323504.25,323522.66666666674,323539.58333333326,323545.33333333326,323550.75,"('interval900',)","('interval7200',)"
43200,324421.16666666674,324413.58333333326,324432.66666666674,324417.0,324415.08333333326,"('interval1800',)","('interval2700',)"
46800,323984.75,323992.16666666674,323981.83333333326,323987.25,323991.91666666674,"('interval2700',)","('interval1800',)"
50400,324571.5,324598.08333333326,324627.66666666674,324625.5,324623.75,"('interval900',)","('interval2700',)"
54000,327174.75,327174.25,327188.08333333326,327202.75,327214.83333333326,"('interval1800',)","('interval7200',)"
57600,325678.75,325681.58333333326,325670.08333333326,325656.33333333326,325654.58333333326,"('interval7200',)","('interval1800',)"
61200,325572.41666666674,325562.5,325559.58333333326,325554.83333333326,325561.25,"('interval3600',)","('interval900',)"
64800,326021.83333333326,326021.08333333326,326072.33333333326,326076.66666666674,326074.5,"('interval1800',)","('interval3600',)"
68400,326977.25,326994.0,326982.08333333326,326984.83333333326,326990.41666666674,"('interval900',)","('interval1800',)"
72000,327678.91666666674,327682.5,327708.33333333326,327703.5,327700.0,"('interval900',)","('interval2700',)"
75600,327272.75,327271.75,327258.08333333326,327266.41666666674,327270.83333333326,"('interval2700',)","('interval900',)"
79200,328229.41666666674,328223.66666666674,328232.5,328319.91666666674,328315.08333333326,"('interval1800',)","('interval3600',)"
82800,326227.0,326201.08333333326,326171.0,326063.16666666674,326057.91666666674,"('interval7200',)","('interval900',)"
86400,324221.5,324254.83333333326,324266.33333333326,324283.75,324274.41666666674,"('interval900',)","('interval3600',)"
90000,323802.75,323799.08333333326,323806.25,323818.66666666674,323817.58333333326,"('interval1800',)","('interval3600',)"
93600,323177.33333333326,323208.91666666674,323211.33333333326,323192.08333333326,323188.5,"('interval900',)","('interval2700',)"
97200,322389.33333333326,322387.08333333326,322362.41666666674,322382.25,322385.33333333326,"('interval2700',)","('interval900',)"
100800,321752.25,321757.5,321770.58333333326,321752.41666666674,321746.08333333326,"('interval7200',)","('interval2700',)"
104400,321741.66666666674,321769.58333333326,321773.75,321764.08333333326,321770.58333333326,"('interval900',)","('interval2700',)"
108000,323076.5,323045.25,323075.33333333326,323084.75,323080.25,"('interval1800',)","('interval3600',)"
111600,323095.5,323110.66666666674,323105.5,323107.91666666674,323118.83333333326,"('interval900',)","('interval7200',)"
115200,323158.5,323161.0,323167.66666666674,323171.25,323166.83333333326,"('interval900',)","('interval3600',)"
118800,323801.91666666674,323815.5,323796.83333333326,323808.25,323822.16666666674,"('interval2700',)","('interval7200',)"
122400,323981.75,323961.0,323963.91666666674,323971.91666666674,323968.16666666674,"('interval1800',)","('interval900',)"
126000,324770.08333333326,324798.33333333326,324825.83333333326,324823.33333333326,324831.41666666674,"('interval900',)","('interval7200',)"
129600,326590.83333333326,326592.75,326618.91666666674,326627.58333333326,326618.66666666674,"('interval900',)","('interval3600',)"
133200,327064.75,327061.0,327085.66666666674,327051.33333333326,327091.0,"('interval3600',)","('interval7200',)"
136800,327614.91666666674,327624.75,327618.33333333326,327645.16666666674,327618.41666666674,"('interval900',)","('interval3600',)"
140400,328572.75,328576.5,328553.91666666674,328579.58333333326,328606.83333333326,"('interval2700',)","('interval7200',)"
144000,327666.83333333326,327684.25,327676.83333333326,327670.41666666674,327665.75,"('interval7200',)","('interval1800',)"
147600,327903.91666666674,327885.33333333326,327908.66666666674,327895.33333333326,327899.58333333326,"('interval1800',)","('interval2700',)"
151200,328280.0,328297.0,328318.58333333326,328328.0,328321.0,"('interval900',)","('interval3600',)"
154800,327978.41666666674,327956.58333333326,327940.41666666674,327926.33333333326,327936.0,"('interval3600',)","('interval900',)"
158400,328193.83333333326,328189.83333333326,328192.33333333326,328181.91666666674,328177.41666666674,"('interval7200',)","('interval900',)"
162000,327756.91666666674,327735.0,327747.41666666674,327747.58333333326,327770.91666666674,"('interval1800',)","('interval7200',)"
165600,326453.75,326450.5,326434.91666666674,326426.58333333326,326422.25,"('interval7200',)","('interval900',)"
169200,325462.0,325450.08333333326,325438.33333333326,325427.33333333326,325448.33333333326,"('interval3600',)","('interval900',)"
