,percentage90,percentage85,percentage80,percentage70,percentage60,min,max
0,0,0,0,0,0,"('percentage90', 'percentage85', 'percentage80', 'percentage70', 'percentage60')","('percentage90', 'percentage85', 'percentage80', 'percentage70', 'percentage60')"
3600,0,0,0,0,-1,"('percentage60',)","('percentage90', 'percentage85', 'percentage80', 'percentage70')"
7200,0,0,0,-8,-8,"('percentage70', 'percentage60')","('percentage90', 'percentage85', 'percentage80')"
10800,0,0,0,0,0,"('percentage90', 'percentage85', 'percentage80', 'percentage70', 'percentage60')","('percentage90', 'percentage85', 'percentage80', 'percentage70', 'percentage60')"
14400,0,0,0,0,0,"('percentage90', 'percentage85', 'percentage80', 'percentage70', 'percentage60')","('percentage90', 'percentage85', 'percentage80', 'percentage70', 'percentage60')"
18000,0,0,0,0,0,"('percentage90', 'percentage85', 'percentage80', 'percentage70', 'percentage60')","('percentage90', 'percentage85', 'percentage80', 'percentage70', 'percentage60')"
21600,0,206,206,264,246,"('percentage90',)","('percentage70',)"
25200,-141,106,81,57,41,"('percentage90',)","('percentage85',)"
28800,-115,-124,-126,70,68,"('percentage80',)","('percentage70',)"
32400,0,-2,-2,-2,-12,"('percentage60',)","('percentage90',)"
36000,0,-2,-2,-3,-3,"('percentage70', 'percentage60')","('percentage90',)"
39600,-2,-4,-5,-9,-10,"('percentage60',)","('percentage90',)"
43200,-2,176,120,89,56,"('percentage90',)","('percentage85',)"
46800,-78,-78,-88,-105,-106,"('percentage60',)","('percentage90', 'percentage85')"
50400,-46,-53,-71,-76,315,"('percentage70',)","('percentage60',)"
54000,-40,111,107,94,67,"('percentage90',)","('percentage85',)"
57600,-538,-307,-315,-317,-398,"('percentage90',)","('percentage85',)"
61200,-15,-17,-21,-59,34,"('percentage70',)","('percentage60',)"
64800,-34,140,136,405,293,"('percentage90',)","('percentage70',)"
68400,-36,112,285,243,145,"('percentage90',)","('percentage80',)"
72000,168,69,27,20,5,"('percentage60',)","('percentage90',)"
75600,-14,-14,-34,-52,-64,"('percentage60',)","('percentage90', 'percentage85')"
79200,31,-101,-300,70,50,"('percentage80',)","('percentage70',)"
82800,-35,-50,-93,-132,-178,"('percentage60',)","('percentage90',)"
86400,-45,-53,-59,-76,-120,"('percentage60',)","('percentage90',)"
90000,-19,-24,-29,-32,-52,"('percentage60',)","('percentage90',)"
93600,-8,-16,-19,-29,-41,"('percentage60',)","('percentage90',)"
97200,-13,-18,-24,-32,-37,"('percentage60',)","('percentage90',)"
100800,-5,-7,-8,-15,-27,"('percentage60',)","('percentage90',)"
104400,-2,-3,-4,-20,-33,"('percentage60',)","('percentage90',)"
108000,-4,-4,-4,-7,-20,"('percentage60',)","('percentage90', 'percentage85', 'percentage80')"
111600,-8,-10,-11,-11,-11,"('percentage80', 'percentage70', 'percentage60')","('percentage90',)"
115200,-8,-9,-9,-11,-11,"('percentage70', 'percentage60')","('percentage90',)"
118800,-4,-4,-4,-4,-6,"('percentage60',)","('percentage90', 'percentage85', 'percentage80', 'percentage70')"
122400,0,0,0,0,-8,"('percentage60',)","('percentage90', 'percentage85', 'percentage80', 'percentage70')"
126000,0,-1,-1,-1,-9,"('percentage60',)","('percentage90',)"
129600,0,-2,-2,-2,230,"('percentage85', 'percentage80', 'percentage70')","('percentage60',)"
133200,-1,-3,-11,-19,107,"('percentage70',)","('percentage60',)"
136800,0,0,0,49,165,"('percentage90', 'percentage85', 'percentage80')","('percentage60',)"
140400,-9,-10,466,374,191,"('percentage85',)","('percentage80',)"
144000,0,-4,-46,82,16,"('percentage80',)","('percentage70',)"
147600,0,0,-33,31,20,"('percentage80',)","('percentage70',)"
151200,0,-4,41,49,26,"('percentage85',)","('percentage70',)"
154800,0,0,-32,-31,-55,"('percentage60',)","('percentage90', 'percentage85')"
158400,-10,-16,-39,45,44,"('percentage80',)","('percentage70',)"
162000,-1,-4,-15,58,23,"('percentage80',)","('percentage70',)"
165600,0,0,-7,-71,-130,"('percentage60',)","('percentage90', 'percentage85')"
169200,0,0,-27,-89,-128,"('percentage60',)","('percentage90', 'percentage85')"
