,10p1,10p2,50p1,50p2,percentage90,percentage70,interval3600,interval7200,min,max
0,0,0,0,0,0,0,0,0,"('10p1', '10p2', '50p1', '50p2', 'percentage90', 'percentage70', 'interval3600', 'interval7200')","('10p1', '10p2', '50p1', '50p2', 'percentage90', 'percentage70', 'interval3600', 'interval7200')"
3600,143,-66,159,-4,0,0,0,0,"('10p2',)","('50p1',)"
7200,272,-16,206,-16,0,-8,0,0,"('10p2', '50p2')","('10p1',)"
10800,68,-6,7,0,0,0,21,0,"('10p2',)","('10p1',)"
14400,-13,0,-4,0,0,0,3,3,"('10p1',)","('interval3600', 'interval7200')"
18000,73,-3,151,6,0,0,-10,0,"('interval3600',)","('50p1',)"
21600,175,242,35,220,0,264,-4,-4,"('interval3600', 'interval7200')","('percentage70',)"
25200,119,27,14,6,-141,57,-4,0,"('percentage90',)","('10p1',)"
28800,-46,-16,-32,-16,-115,70,-3,-3,"('percentage90',)","('percentage70',)"
32400,244,-40,253,265,0,-2,-2,0,"('10p2',)","('50p2',)"
36000,259,-33,236,-57,0,-3,-17,-15,"('50p2',)","('10p1',)"
39600,122,52,158,11,-2,-9,-21,-1,"('interval3600',)","('50p1',)"
43200,53,16,55,56,-2,89,-13,-11,"('interval3600',)","('percentage70',)"
46800,-237,-68,-229,-115,-78,-105,-20,-1,"('10p1',)","('interval7200',)"
50400,314,348,320,345,-46,-76,-1,-1,"('percentage70',)","('10p2',)"
54000,109,-58,93,71,-40,94,-1,0,"('10p2',)","('10p1',)"
57600,-555,-429,-566,-490,-538,-317,247,255,"('50p1',)","('interval7200',)"
61200,-7,-22,43,48,-15,-59,-15,-6,"('percentage70',)","('50p2',)"
64800,258,55,341,-72,-34,405,-2,0,"('50p2',)","('percentage70',)"
68400,186,63,136,76,-36,243,-8,-6,"('percentage90',)","('percentage70',)"
72000,69,122,123,98,168,20,-10,-4,"('interval3600',)","('percentage90',)"
75600,-117,-64,-146,-33,-14,-52,130,-6,"('50p1',)","('interval3600',)"
79200,39,-53,132,20,31,70,-11,-5,"('10p2',)","('50p1',)"
82800,-119,-57,-157,-74,-35,-132,86,0,"('50p1',)","('interval3600',)"
86400,137,-18,159,-10,-45,-76,-46,-27,"('percentage70',)","('50p1',)"
90000,-109,-12,-101,-18,-19,-32,97,-9,"('10p1',)","('interval3600',)"
93600,213,-55,314,-30,-8,-29,-2,-2,"('10p2',)","('50p1',)"
97200,-108,-17,-93,-12,-13,-32,89,0,"('10p1',)","('interval3600',)"
100800,-19,-5,-56,-5,-5,-15,403,406,"('50p1',)","('interval7200',)"
104400,262,84,277,93,-2,-20,-3,-2,"('percentage70',)","('50p1',)"
108000,131,265,118,187,-4,-7,-48,-38,"('interval3600',)","('10p2',)"
111600,64,49,-47,-8,-8,-11,-13,-4,"('50p1',)","('10p1',)"
115200,86,-94,108,-91,-8,-11,-5,-1,"('10p2',)","('50p1',)"
118800,148,44,152,-4,-4,-4,-4,-2,"('50p2', 'percentage90', 'percentage70', 'interval3600')","('50p1',)"
122400,120,-24,110,-13,0,0,-16,0,"('10p2',)","('10p1',)"
126000,238,-25,233,-44,0,-1,-9,-9,"('50p2',)","('10p1',)"
129600,64,-29,90,-8,0,-2,-6,-2,"('10p2',)","('50p1',)"
133200,84,-100,45,-88,-1,-19,13,-1,"('10p2',)","('10p1',)"
136800,93,-177,258,-172,0,49,-15,-15,"('10p2',)","('50p1',)"
140400,227,74,223,174,-9,374,-42,0,"('interval3600',)","('percentage70',)"
144000,38,114,14,20,0,82,-10,-9,"('interval3600',)","('10p2',)"
147600,106,74,109,83,0,31,-19,-6,"('interval3600',)","('50p1',)"
151200,128,-41,124,-73,0,49,-15,-10,"('50p2',)","('10p1',)"
154800,-193,-30,-207,-54,0,-31,57,-17,"('50p1',)","('interval3600',)"
158400,90,17,179,-3,-10,45,-13,-10,"('interval3600',)","('50p1',)"
162000,265,58,322,73,-1,58,308,-3,"('interval7200',)","('50p1',)"
165600,-257,-32,-232,-17,0,-71,276,276,"('10p1',)","('interval3600', 'interval7200')"
169200,65,-16,5,-15,0,-89,-36,-3,"('percentage70',)","('10p1',)"
