,10p1,10p2,50p1,50p2,percentage90,percentage70,interval3600,interval7200,min,max
0,323833.66666666674,323833.66666666674,323833.66666666674,323833.66666666674,323833.66666666674,323824.75,323833.66666666674,323833.66666666674,"('percentage70',)","('10p1', '10p2', '50p1', '50p2', 'percentage90', 'interval3600', 'interval7200')"
3600,323215.0,323261.33333333326,323237.66666666674,323315.0,323320.0,323321.16666666674,323313.5,323320.0,"('10p1',)","('percentage70',)"
7200,323280.66666666674,323364.91666666674,323314.08333333326,323358.0,323355.75,323356.5,323351.75,323349.91666666674,"('10p1',)","('10p2',)"
10800,322996.58333333326,322959.0,322981.83333333326,322940.66666666674,322940.0,322940.83333333326,322931.83333333326,322940.16666666674,"('interval3600',)","('10p1',)"
14400,322069.83333333326,322073.91666666674,322101.5,322119.41666666674,322122.41666666674,322122.58333333326,322119.75,322117.58333333326,"('10p1',)","('percentage70',)"
18000,322387.83333333326,322561.5,322359.75,322529.33333333326,322556.0,322556.0,322553.16666666674,322557.0,"('50p1',)","('10p2',)"
21600,324002.83333333326,324037.66666666674,323979.08333333326,324027.08333333326,324013.33333333326,323917.83333333326,324074.16666666674,324068.25,"('percentage70',)","('interval3600',)"
25200,324639.66666666674,324596.83333333326,324666.58333333326,324601.41666666674,324500.75,324444.91666666674,324532.08333333326,324539.41666666674,"('percentage70',)","('50p1',)"
28800,323071.58333333326,322989.83333333326,323068.41666666674,322987.75,323031.33333333326,323068.08333333326,322974.25,322970.5,"('interval7200',)","('10p1',)"
32400,321923.5,321983.58333333326,321957.58333333326,321928.16666666674,322105.41666666674,322126.5,322101.91666666674,322125.83333333326,"('10p1',)","('percentage70',)"
36000,323173.58333333326,323294.41666666674,323148.16666666674,323318.25,323267.91666666674,323280.08333333326,323245.33333333326,323239.25,"('50p1',)","('50p2',)"
39600,323459.0,323528.91666666674,323486.25,323570.58333333326,323545.83333333326,323549.5,323545.33333333326,323550.75,"('10p1',)","('50p2',)"
43200,324326.83333333326,324387.91666666674,324302.08333333326,324351.75,324376.0,324261.41666666674,324417.0,324415.08333333326,"('percentage70',)","('interval3600',)"
46800,324058.08333333326,324013.0,324077.91666666674,324027.33333333326,324016.66666666674,323959.83333333326,323987.25,323991.91666666674,"('percentage70',)","('50p1',)"
50400,324342.25,324361.83333333326,324356.08333333326,324354.91666666674,324477.66666666674,324363.83333333326,324625.5,324623.75,"('10p1',)","('interval3600',)"
54000,327253.5,327310.41666666674,327219.58333333326,327291.0,327053.83333333326,327092.75,327202.75,327214.83333333326,"('percentage90',)","('10p2',)"
57600,325715.41666666674,325690.66666666674,325723.0,325715.41666666674,325780.66666666674,325762.25,325656.33333333326,325654.58333333326,"('interval7200',)","('percentage90',)"
61200,325631.0,325609.83333333326,325624.33333333326,325593.25,325607.5,325651.5,325554.83333333326,325561.25,"('interval3600',)","('percentage70',)"
64800,325893.58333333326,326078.25,325878.25,325931.25,326112.83333333326,325977.58333333326,326076.66666666674,326074.5,"('50p1',)","('percentage90',)"
68400,327053.25,326999.75,327073.25,327060.75,326989.16666666674,326827.25,326984.83333333326,326990.41666666674,"('percentage70',)","('50p1',)"
72000,327618.75,327658.5,327589.33333333326,327726.16666666674,327496.08333333326,327641.08333333326,327703.5,327700.0,"('percentage90',)","('50p2',)"
75600,327336.5,327295.33333333326,327371.91666666674,327281.33333333326,327305.08333333326,327259.58333333326,327266.41666666674,327270.83333333326,"('percentage70',)","('50p1',)"
79200,328029.75,328061.91666666674,328016.58333333326,328049.16666666674,328347.5,328016.16666666674,328319.91666666674,328315.08333333326,"('percentage70',)","('percentage90',)"
82800,326481.25,326334.41666666674,326476.0,326345.16666666674,326112.41666666674,326492.08333333326,326063.16666666674,326057.91666666674,"('interval7200',)","('percentage70',)"
