,10n1,10p1,20p1,20n1,percentage90,percentage85,percentage80,percentage70,percentage60,min,max
0,323800.5,323833.66666666674,323833.66666666674,323809.08333333326,323833.66666666674,323833.66666666674,323833.66666666674,323824.75,323821.91666666674,"('10n1',)","('10p1', '20p1', 'percentage90', 'percentage85', 'percentage80')"
3600,323214.83333333326,323215.0,323237.66666666674,323217.16666666674,323320.0,323320.0,323320.0,323321.16666666674,323321.91666666674,"('10n1',)","('percentage60',)"
7200,323207.5,323280.66666666674,323314.08333333326,323212.75,323355.75,323355.75,323355.75,323356.5,323356.75,"('10n1',)","('percentage60',)"
10800,323007.58333333326,322996.58333333326,322981.83333333326,323004.08333333326,322940.0,322940.0,322940.0,322940.83333333326,322941.16666666674,"('percentage90', 'percentage85', 'percentage80')","('10n1',)"
14400,322082.08333333326,322069.83333333326,322101.5,322073.33333333326,322122.41666666674,322122.41666666674,322122.41666666674,322122.58333333326,322122.66666666674,"('10p1',)","('percentage60',)"
18000,322358.91666666674,322387.83333333326,322359.75,322333.08333333326,322556.0,322556.0,322556.0,322556.0,322556.08333333326,"('20n1',)","('percentage60',)"
21600,323895.91666666674,324002.83333333326,323979.08333333326,323899.25,324013.33333333326,323990.0,323966.25,323917.83333333326,323899.41666666674,"('10n1',)","('percentage90',)"
25200,324614.41666666674,324639.66666666674,324666.58333333326,324630.08333333326,324500.75,324468.91666666674,324465.16666666674,324444.91666666674,324449.66666666674,"('percentage70',)","('20p1',)"
28800,323134.0,323071.58333333326,323068.41666666674,323147.58333333326,323031.33333333326,323050.16666666674,323067.08333333326,323068.08333333326,323065.91666666674,"('percentage90',)","('20n1',)"
32400,321929.25,321923.5,321957.58333333326,321923.16666666674,322105.41666666674,322107.0,322111.41666666674,322126.5,322128.5,"('20n1',)","('percentage60',)"
36000,323123.16666666674,323173.58333333326,323148.16666666674,323081.41666666674,323267.91666666674,323272.25,323272.41666666674,323280.08333333326,323280.0,"('20n1',)","('percentage70',)"
39600,323433.91666666674,323459.0,323486.25,323435.33333333326,323545.83333333326,323546.75,323547.16666666674,323549.5,323490.25,"('10n1',)","('percentage70',)"
