,10p1,10p2,50p1,50p2,percentage90,percentage70,interval3600,interval7200,min,max
0,0.0,0.0,0.0,0.0,0.0,8.916666666744277,0.0,0.0,"('10p1', '10p2', '50p1', '50p2', 'percentage90', 'interval3600', 'interval7200')","('percentage70',)"
3600,105.0,58.66666666674428,82.33333333325572,5.0,0.0,-1.1666666667442769,6.5,0.0,"('percentage70',)","('10p1',)"
7200,75.08333333325572,-9.166666666744277,41.66666666674428,-2.25,0.0,-0.75,4.0,5.833333333255723,"('10p2',)","('10p1',)"
10800,-56.58333333325572,-19.0,-41.83333333325572,-0.6666666667442769,0.0,-0.8333333332557231,8.166666666744277,-0.16666666674427688,"('10p1',)","('interval3600',)"
14400,52.583333333488554,48.5,20.916666666744277,3.0,0.0,-0.16666666651144624,2.666666666744277,4.833333333488554,"('percentage70',)","('10p1',)"
18000,168.16666666674428,-5.5,196.25,26.666666666744277,0.0,0.0,2.833333333255723,-1.0,"('10p2',)","('50p1',)"
21600,101.5,66.66666666651145,125.25,77.25,91.0,186.5,30.166666666511446,36.08333333325572,"('interval3600',)","('percentage70',)"
25200,-102.0,-59.166666666511446,-128.91666666651145,-63.75,36.91666666674428,92.75,5.583333333488554,-1.75,"('50p1',)","('percentage70',)"
28800,-98.33333333325572,-16.583333333255723,-95.16666666674428,-14.5,-58.08333333325572,-94.83333333325572,-1.0,2.75,"('10p1',)","('interval7200',)"
32400,176.91666666674428,116.83333333348855,142.83333333348855,172.25,-5.0,-26.083333333255723,-1.5,-25.416666666511446,"('percentage70',)","('10p1',)"
36000,90.75,-30.083333333488554,116.16666666651145,-53.91666666674428,-3.5833333334885538,-15.75,19.0,25.083333333255723,"('50p2',)","('50p1',)"
39600,84.5,14.583333333255723,57.25,-27.083333333255723,-2.333333333255723,-6.0,-1.8333333332557231,-7.25,"('50p2',)","('10p1',)"
43200,107.0,45.916666666511446,131.75,82.08333333325572,57.83333333325572,172.41666666651145,16.833333333255723,18.75,"('interval3600',)","('percentage70',)"
46800,-67.16666666651145,-22.083333333255723,-87.0,-36.416666666511446,-25.75,31.083333333488554,3.666666666744277,-1.0,"('50p1',)","('percentage70',)"
50400,282.9166666667443,263.33333333348855,269.08333333348855,270.25,147.5,261.33333333348855,-0.3333333332557231,1.4166666667442769,"('interval3600',)","('10p1',)"
54000,-40.91666666674428,-97.83333333348855,-7.0,-78.41666666674428,158.75,119.83333333325572,9.833333333255723,-2.25,"('10p2',)","('percentage90',)"
57600,-53.0,-28.25,-60.58333333325572,-53.0,-118.25,-99.83333333325572,6.083333333488554,7.833333333488554,"('percentage90',)","('interval7200',)"
61200,-73.41666666674428,-52.25,-66.75,-35.66666666674428,-49.91666666674428,-93.91666666674428,2.75,-3.666666666744277,"('percentage70',)","('interval3600',)"
64800,188.41666666674428,3.75,203.75,150.75,-30.833333333255723,104.41666666674428,5.333333333255723,7.5,"('percentage90',)","('50p1',)"
68400,-66.08333333325572,-12.583333333255723,-86.08333333325572,-73.58333333325572,-2.0,159.91666666674428,2.3333333334885538,-3.25,"('50p1',)","('percentage70',)"
72000,94.08333333325572,54.33333333325572,123.5,-13.333333333488554,216.75,71.75,9.333333333255723,12.833333333255723,"('50p2',)","('percentage90',)"
75600,-68.58333333325572,-27.416666666511446,-104.0,-13.416666666511446,-37.166666666511446,8.333333333488554,1.5,-2.9166666665114462,"('50p1',)","('percentage70',)"
79200,291.5833333332557,259.41666666651145,304.75,272.16666666651145,-26.166666666744277,305.16666666651145,1.4166666665114462,6.25,"('percentage90',)","('percentage70',)"
82800,-426.8333333332557,-280.0,-421.5833333332557,-290.75,-58.0,-437.66666666651145,-8.75,-3.5,"('percentage70',)","('interval7200',)"
86400,108.33333333325572,4.583333333255723,89.16666666674428,19.416666666744277,-26.833333333255723,-68.41666666674428,-7.25,2.083333333255723,"('percentage70',)","('10p1',)"
90000,-58.5,24.0,-120.25,-26.583333333255723,-22.166666666511446,-60.83333333325572,-6.75,-5.666666666511446,"('50p1',)","('10p2',)"
93600,-8.75,-55.58333333325572,-6.583333333255723,-51.91666666674428,-32.16666666674428,-66.41666666674428,-9.333333333255723,-5.75,"('percentage70',)","('interval7200',)"
97200,-75.66666666674428,-33.91666666674428,-86.0,-37.333333333488554,-12.25,-53.66666666674428,-6.916666666744277,-10.0,"('50p1',)","('interval3600',)"
100800,1.5,-15.75,-49.916666666511446,-15.166666666511446,-8.5,-40.666666666511446,8.5,14.833333333488554,"('50p1',)","('interval7200',)"
104400,43.66666666674428,76.08333333325572,101.58333333325572,83.25,-3.583333333255723,-19.833333333255723,1.4166666667442769,-5.083333333255723,"('percentage70',)","('50p1',)"
108000,26.666666666744277,1.0,89.5,-10.666666666744277,-8.25,-36.33333333325572,3.5,8.0,"('percentage70',)","('50p1',)"
111600,-75.25,-27.916666666744277,-117.25,-38.16666666674428,-8.166666666744277,-27.0,4.583333333255723,-6.333333333255723,"('50p1',)","('interval3600',)"
115200,72.83333333348855,-24.5,32.91666666674428,-49.25,-4.25,-20.75,-4.583333333255723,-0.16666666651144624,"('50p2',)","('10p1',)"
118800,88.33333333348855,-12.583333333255723,95.75,-14.25,-18.333333333255723,-32.83333333325572,9.916666666744277,-4.0,"('percentage70',)","('50p1',)"
122400,-16.5,-19.416666666744277,1.8333333332557231,-2.0,-7.333333333488554,-17.083333333488554,3.1666666665114462,6.916666666511446,"('10p2',)","('interval7200',)"
126000,187.25,101.33333333325572,199.5,127.66666666674428,-0.6666666667442769,-2.916666666744277,5.666666666744277,-2.416666666744277,"('percentage70',)","('50p1',)"
129600,95.66666666674428,71.08333333348855,124.16666666674428,8.666666666744277,-3.6666666665114462,-10.583333333255723,1.0833333334885538,10.0,"('percentage70',)","('50p1',)"
133200,-56.83333333325572,-27.916666666511446,-83.83333333325572,-38.33333333325572,-4.416666666511446,-14.166666666511446,36.083333333488554,-3.583333333255723,"('50p1',)","('interval3600',)"
136800,91.75,87.5,139.41666666674428,112.91666666674428,-2.5,153.08333333325572,-24.416666666744277,2.333333333255723,"('interval3600',)","('percentage70',)"
140400,-31.416666666744277,-92.0,-21.166666666744277,-81.83333333325572,-13.25,212.58333333325572,13.916666666744277,-13.333333333255723,"('10p2',)","('percentage70',)"
144000,-16.333333333255723,35.333333333488554,-28.25,-0.16666666651144624,-3.4166666665114462,62.333333333488554,-2.5,2.166666666744277,"('50p1',)","('percentage70',)"
147600,4.833333333255723,-3.833333333255723,34.0,-14.083333333255723,-1.6666666667442769,76.58333333325572,0.6666666667442769,-3.583333333255723,"('50p2',)","('percentage70',)"
151200,23.0,-22.666666666511446,16.083333333488554,31.583333333488554,-0.6666666665114462,81.66666666674428,0.6666666667442769,7.666666666744277,"('10p2',)","('percentage70',)"
154800,-83.75,-3.25,-98.16666666674428,-22.583333333488554,-2.75,49.916666666511446,4.5,-5.166666666744277,"('50p1',)","('percentage70',)"
158400,66.33333333325572,20.166666666744277,70.58333333325572,-9.166666666744277,-5.583333333255723,108.75,4.083333333255723,8.583333333255723,"('50p2',)","('percentage70',)"
162000,-96.0,-40.166666666511446,-81.58333333325572,-14.25,-4.25,-33.666666666511446,17.083333333488554,-6.25,"('10p1',)","('interval3600',)"
165600,-107.16666666674428,-28.583333333488554,-102.0,-17.0,-5.166666666744277,-142.91666666674428,4.5,8.833333333255723,"('percentage70',)","('interval7200',)"
169200,-96.75,-33.416666666511446,-96.83333333325572,-34.166666666511446,-1.75,-88.5,16.333333333488554,-4.666666666511446,"('50p1',)","('interval3600',)"
