,minimum,maximum,percentiles,delays,mean
0,323400,324526,"{0.1: 323406.0, 0.2: 323463.0, 0.3: 323466.0, 0.4: 323475.0, 0.5: 323536.0, 0.6: 324092.0, 0.7: 324173.0, 0.8: 324312.0, 0.9: 324512.0}",58,323824.75
3600,322952,323619,"{0.1: 322985.0, 0.2: 322989.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323424.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323584.0}",0,323321.1666666667
7200,322617,323774,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323308.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323561.0, 0.8: 323593.0, 0.9: 323716.0}",0,323356.5
10800,322514,323572,"{0.1: 322640.0, 0.2: 322658.0, 0.3: 322661.0, 0.4: 322775.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323028.0, 0.8: 323306.0, 0.9: 323529.0}",0,322940.8333333333
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322091.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0,322122.5833333333
18000,322071,322934,"{0.1: 322236.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322524.5, 0.6: 322619.0, 0.7: 322892.0, 0.8: 322926.0, 0.9: 322926.0}",0,322556.0
21600,323112,324937,"{0.1: 323140.0, 0.2: 323278.0, 0.3: 323348.0, 0.4: 323542.0, 0.5: 323954.5, 0.6: 324188.0, 0.7: 324211.0, 0.8: 324538.0, 0.9: 324811.0}",1017,323917.8333333333
25200,324083,325006,"{0.1: 324119.0, 0.2: 324134.0, 0.3: 324182.0, 0.4: 324209.0, 0.5: 324314.0, 0.6: 324634.0, 0.7: 324645.0, 0.8: 324777.0, 0.9: 324922.0}",1321,324444.9166666667
28800,322019,324119,"{0.1: 322176.0, 0.2: 322213.0, 0.3: 322659.0, 0.4: 322671.0, 0.5: 322833.5, 0.6: 323348.0, 0.7: 323907.0, 0.8: 324006.0, 0.9: 324032.0}",450,323068.0833333333
32400,321555,323107,"{0.1: 321582.0, 0.2: 321629.0, 0.3: 321642.0, 0.4: 321699.0, 0.5: 321909.0, 0.6: 322315.0, 0.7: 322448.0, 0.8: 322711.0, 0.9: 323012.0}",0,322126.5
36000,322874,323592,"{0.1: 322926.0, 0.2: 323089.0, 0.3: 323145.0, 0.4: 323233.0, 0.5: 323366.0, 0.6: 323402.0, 0.7: 323425.0, 0.8: 323451.0, 0.9: 323492.0}",0,323280.0833333333
39600,323327,323792,"{0.1: 323330.0, 0.2: 323373.0, 0.3: 323415.0, 0.4: 323442.0, 0.5: 323541.0, 0.6: 323697.0, 0.7: 323698.0, 0.8: 323704.0, 0.9: 323734.0}",0,323549.5
43200,323864,324976,"{0.1: 323881.0, 0.2: 323974.0, 0.3: 323999.0, 0.4: 324122.0, 0.5: 324205.5, 0.6: 324249.0, 0.7: 324268.0, 0.8: 324479.0, 0.9: 324914.0}",1602,324261.4166666667
46800,323696,324283,"{0.1: 323825.0, 0.2: 323836.0, 0.3: 323845.0, 0.4: 323869.0, 0.5: 323921.5, 0.6: 324049.0, 0.7: 324080.0, 0.8: 324084.0, 0.9: 324108.0}",1124,323959.8333333333
50400,323717,327017,"{0.1: 323736.0, 0.2: 323811.0, 0.3: 323894.0, 0.4: 323900.0, 0.5: 323990.5, 0.6: 324049.0, 0.7: 324322.0, 0.8: 324791.0, 0.9: 325148.0}",1200,324363.8333333333
54000,326668,327829,"{0.1: 326781.0, 0.2: 326827.0, 0.3: 326850.0, 0.4: 326913.0, 0.5: 326990.5, 0.6: 327039.0, 0.7: 327078.0, 0.8: 327535.0, 0.9: 327612.0}",1830,327092.75
57600,325448,326550,"{0.1: 325471.0, 0.2: 325556.0, 0.3: 325574.0, 0.4: 325637.0, 0.5: 325655.0, 0.6: 325688.0, 0.7: 325872.0, 0.8: 326017.0, 0.9: 326024.0}",760,325762.25
61200,325408,325832,"{0.1: 325519.0, 0.2: 325547.0, 0.3: 325549.0, 0.4: 325572.0, 0.5: 325672.5, 0.6: 325729.0, 0.7: 325746.0, 0.8: 325765.0, 0.9: 325806.0}",0,325651.5
64800,325131,326926,"{0.1: 325377.0, 0.2: 325378.0, 0.3: 325382.0, 0.4: 325401.0, 0.5: 325809.0, 0.6: 326206.0, 0.7: 326631.0, 0.8: 326837.0, 0.9: 326844.0}",613,325977.5833333333
68400,326509,327211,"{0.1: 326582.0, 0.2: 326599.0, 0.3: 326665.0, 0.4: 326671.0, 0.5: 326797.5, 0.6: 326909.0, 0.7: 327003.0, 0.8: 327080.0, 0.9: 327103.0}",1890,326827.25
