,minimum,maximum,percentiles,delays,mean
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0,323833.6666666667
3600,322952,323619,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323583.0}",0,323320.0
7200,322617,323766,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323308.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323560.0, 0.8: 323593.0, 0.9: 323716.0}",0,323355.75
10800,322514,323572,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323027.0, 0.8: 323306.0, 0.9: 323529.0}",0,322940.0
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322089.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0,322122.4166666667
18000,322071,322934,"{0.1: 322236.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322524.5, 0.6: 322619.0, 0.7: 322892.0, 0.8: 322926.0, 0.9: 322926.0}",0,322556.0
21600,323112,325201,"{0.1: 323140.0, 0.2: 323278.0, 0.3: 323348.0, 0.4: 323750.0, 0.5: 324098.5, 0.6: 324159.0, 0.7: 324234.0, 0.8: 324746.0, 0.9: 324995.0}",291,324013.3333333333
25200,324180,325204,"{0.1: 324218.0, 0.2: 324244.0, 0.3: 324309.0, 0.4: 324310.0, 0.5: 324334.0, 0.6: 324614.0, 0.7: 324668.0, 0.8: 324718.0, 0.9: 324876.0}",566,324500.75
28800,321948,324304,"{0.1: 321995.0, 0.2: 322162.0, 0.3: 322430.0, 0.4: 322636.0, 0.5: 322743.0, 0.6: 323157.0, 0.7: 323977.0, 0.8: 324087.0, 0.9: 324194.0}",0,323031.3333333333
32400,321540,323105,"{0.1: 321569.0, 0.2: 321570.0, 0.3: 321609.0, 0.4: 321686.0, 0.5: 321883.0, 0.6: 322314.0, 0.7: 322439.0, 0.8: 322703.0, 0.9: 322964.0}",0,322105.4166666667
36000,322869,323589,"{0.1: 322926.0, 0.2: 323086.0, 0.3: 323121.0, 0.4: 323232.0, 0.5: 323324.5, 0.6: 323402.0, 0.7: 323413.0, 0.8: 323449.0, 0.9: 323479.0}",0,323267.9166666667
39600,323322,323785,"{0.1: 323326.0, 0.2: 323369.0, 0.3: 323410.0, 0.4: 323440.0, 0.5: 323537.0, 0.6: 323694.0, 0.7: 323698.0, 0.8: 323703.0, 0.9: 323729.0}",0,323545.8333333333
43200,323860,325067,"{0.1: 324092.0, 0.2: 324117.0, 0.3: 324187.0, 0.4: 324196.0, 0.5: 324274.5, 0.6: 324345.0, 0.7: 324554.0, 0.8: 324747.0, 0.9: 324798.0}",463,324376.0
46800,323838,324256,"{0.1: 323846.0, 0.2: 323856.0, 0.3: 323939.0, 0.4: 323991.0, 0.5: 323993.5, 0.6: 323998.0, 0.7: 324076.0, 0.8: 324186.0, 0.9: 324227.0}",0,324016.6666666667
50400,323762,326987,"{0.1: 323824.0, 0.2: 323846.0, 0.3: 323877.0, 0.4: 323949.0, 0.5: 324092.0, 0.6: 324444.0, 0.7: 324841.0, 0.8: 324933.0, 0.9: 325085.0}",474,324477.6666666667
54000,326631,327963,"{0.1: 326755.0, 0.2: 326768.0, 0.3: 326804.0, 0.4: 326864.0, 0.5: 326958.0, 0.6: 326994.0, 0.7: 327058.0, 0.8: 327368.0, 0.9: 327525.0}",1663,327053.8333333333
57600,325499,326771,"{0.1: 325501.0, 0.2: 325532.0, 0.3: 325575.0, 0.4: 325580.0, 0.5: 325670.0, 0.6: 325814.0, 0.7: 325836.0, 0.8: 325951.0, 0.9: 325969.0}",0,325780.6666666667
61200,325383,325788,"{0.1: 325489.0, 0.2: 325493.0, 0.3: 325501.0, 0.4: 325529.0, 0.5: 325620.0, 0.6: 325694.0, 0.7: 325703.0, 0.8: 325716.0, 0.9: 325754.0}",0,325607.5
64800,325033,327365,"{0.1: 325339.0, 0.2: 325359.0, 0.3: 325382.0, 0.4: 325382.0, 0.5: 325798.5, 0.6: 326588.0, 0.7: 327047.0, 0.8: 327079.0, 0.9: 327183.0}",0,326112.8333333333
68400,326650,327490,"{0.1: 326736.0, 0.2: 326780.0, 0.3: 326795.0, 0.4: 326832.0, 0.5: 326917.0, 0.6: 327083.0, 0.7: 327205.0, 0.8: 327226.0, 0.9: 327239.0}",220,326989.1666666667
72000,327075,327978,"{0.1: 327117.0, 0.2: 327183.0, 0.3: 327257.0, 0.4: 327279.0, 0.5: 327443.0, 0.6: 327701.0, 0.7: 327745.0, 0.8: 327825.0, 0.9: 327907.0}",1770,327496.0833333333
75600,327064,327624,"{0.1: 327117.0, 0.2: 327120.0, 0.3: 327169.0, 0.4: 327200.0, 0.5: 327282.5, 0.6: 327325.0, 0.7: 327345.0, 0.8: 327562.0, 0.9: 327570.0}",704,327305.0833333333
79200,326554,330487,"{0.1: 326837.0, 0.2: 326889.0, 0.3: 326916.0, 0.4: 327212.0, 0.5: 327399.5, 0.6: 329813.0, 0.7: 330120.0, 0.8: 330189.0, 0.9: 330354.0}",250,328347.5
82800,323932,329965,"{0.1: 323992.0, 0.2: 324141.0, 0.3: 324169.0, 0.4: 324219.0, 0.5: 324749.0, 0.6: 326098.0, 0.7: 327944.0, 0.8: 329650.0, 0.9: 329741.0}",216,326112.4166666667
86400,323883,324698,"{0.1: 323911.0, 0.2: 323958.0, 0.3: 324073.0, 0.4: 324152.0, 0.5: 324310.0, 0.6: 324510.0, 0.7: 324540.0, 0.8: 324631.0, 0.9: 324664.0}",0,324303.3333333333
90000,323531,324242,"{0.1: 323549.0, 0.2: 323579.0, 0.3: 323704.0, 0.4: 323729.0, 0.5: 323882.5, 0.6: 323901.0, 0.7: 323919.0, 0.8: 323964.0, 0.9: 324126.0}",0,323834.0833333333
