,minimum,maximum,percentiles,delays,mean
0,323295,324526,"{0.1: 323298.0, 0.2: 323410.0, 0.3: 323473.0, 0.4: 323489.0, 0.5: 323540.5, 0.6: 324092.0, 0.7: 324173.0, 0.8: 324312.0, 0.9: 324512.0}",195,323805.0833333333
3600,322770,323685,"{0.1: 322832.0, 0.2: 322999.0, 0.3: 323019.0, 0.4: 323068.0, 0.5: 323258.5, 0.6: 323429.0, 0.7: 323535.0, 0.8: 323599.0, 0.9: 323605.0}",486,323254.8333333333
7200,322554,323807,"{0.1: 322901.0, 0.2: 323079.0, 0.3: 323142.0, 0.4: 323152.0, 0.5: 323233.0, 0.6: 323422.0, 0.7: 323703.0, 0.8: 323728.0, 0.9: 323737.0}",477,323307.5833333333
10800,322535,323640,"{0.1: 322554.0, 0.2: 322639.0, 0.3: 322696.0, 0.4: 322697.0, 0.5: 322887.5, 0.6: 323024.0, 0.7: 323047.0, 0.8: 323417.0, 0.9: 323429.0}",223,322954.4166666667
14400,321752,322402,"{0.1: 321845.0, 0.2: 321933.0, 0.3: 321991.0, 0.4: 322034.0, 0.5: 322151.0, 0.6: 322226.0, 0.7: 322232.0, 0.8: 322272.0, 0.9: 322375.0}",407,322113.6666666667
18000,321959,323043,"{0.1: 322011.0, 0.2: 322096.0, 0.3: 322293.0, 0.4: 322342.0, 0.5: 322506.0, 0.6: 322658.0, 0.7: 322681.0, 0.8: 322993.0, 0.9: 323032.0}",566,322510.0
21600,322691,325258,"{0.1: 323053.0, 0.2: 323205.0, 0.3: 323382.0, 0.4: 323646.0, 0.5: 323991.5, 0.6: 324232.0, 0.7: 324775.0, 0.8: 324861.0, 0.9: 325112.0}",819,324016.5
25200,324129,325098,"{0.1: 324191.0, 0.2: 324218.0, 0.3: 324250.0, 0.4: 324285.0, 0.5: 324487.0, 0.6: 324651.0, 0.7: 324757.0, 0.8: 324938.0, 0.9: 324963.0}",400,324537.8333333333
28800,322029,324226,"{0.1: 322046.0, 0.2: 322099.0, 0.3: 322473.0, 0.4: 322505.0, 0.5: 322693.0, 0.6: 322976.0, 0.7: 323745.0, 0.8: 323992.0, 0.9: 324219.0}",429,322974.6666666667
32400,321234,323171,"{0.1: 321451.0, 0.2: 321484.0, 0.3: 321635.0, 0.4: 321639.0, 0.5: 321699.5, 0.6: 322196.0, 0.7: 322364.0, 0.8: 322497.0, 0.9: 323027.0}",872,322008.0833333333
36000,322595,323660,"{0.1: 322719.0, 0.2: 323007.0, 0.3: 323062.0, 0.4: 323133.0, 0.5: 323270.5, 0.6: 323429.0, 0.7: 323510.0, 0.8: 323543.0, 0.9: 323594.0}",622,323232.75
39600,322962,323797,"{0.1: 323210.0, 0.2: 323367.0, 0.3: 323394.0, 0.4: 323452.0, 0.5: 323544.0, 0.6: 323593.0, 0.7: 323691.0, 0.8: 323734.0, 0.9: 323763.0}",692,323504.25
43200,323547,325101,"{0.1: 323994.0, 0.2: 324171.0, 0.3: 324197.0, 0.4: 324216.0, 0.5: 324403.0, 0.6: 324450.0, 0.7: 324670.0, 0.8: 324805.0, 0.9: 325097.0}",582,324421.1666666667
46800,323731,324238,"{0.1: 323844.0, 0.2: 323864.0, 0.3: 323877.0, 0.4: 323890.0, 0.5: 323976.5, 0.6: 324075.0, 0.7: 324089.0, 0.8: 324098.0, 0.9: 324158.0}",466,323984.75
50400,323653,326986,"{0.1: 323685.0, 0.2: 323728.0, 0.3: 323886.0, 0.4: 323894.0, 0.5: 324046.5, 0.6: 324515.0, 0.7: 324762.0, 0.8: 324874.0, 0.9: 326782.0}",522,324571.5
54000,326770,328000,"{0.1: 326803.0, 0.2: 326878.0, 0.3: 326893.0, 0.4: 326975.0, 0.5: 327042.5, 0.6: 327174.0, 0.7: 327229.0, 0.8: 327342.0, 0.9: 327948.0}",605,327174.75
57600,325308,326055,"{0.1: 325363.0, 0.2: 325503.0, 0.3: 325531.0, 0.4: 325541.0, 0.5: 325596.5, 0.6: 325844.0, 0.7: 325860.0, 0.8: 325897.0, 0.9: 326050.0}",503,325678.75
61200,325280,325804,"{0.1: 325382.0, 0.2: 325489.0, 0.3: 325513.0, 0.4: 325533.0, 0.5: 325584.5, 0.6: 325595.0, 0.7: 325653.0, 0.8: 325721.0, 0.9: 325730.0}",426,325572.4166666667
64800,324913,327419,"{0.1: 325176.0, 0.2: 325249.0, 0.3: 325388.0, 0.4: 325402.0, 0.5: 325468.5, 0.6: 326529.0, 0.7: 326875.0, 0.8: 327137.0, 0.9: 327237.0}",628,326021.8333333333
68400,326301,327519,"{0.1: 326503.0, 0.2: 326820.0, 0.3: 326848.0, 0.4: 326937.0, 0.5: 326951.0, 0.6: 327125.0, 0.7: 327181.0, 0.8: 327237.0, 0.9: 327354.0}",562,326977.25
72000,327134,328232,"{0.1: 327224.0, 0.2: 327490.0, 0.3: 327556.0, 0.4: 327596.0, 0.5: 327656.0, 0.6: 327730.0, 0.7: 327825.0, 0.8: 328022.0, 0.9: 328026.0}",768,327678.9166666667
75600,327027,327545,"{0.1: 327043.0, 0.2: 327091.0, 0.3: 327150.0, 0.4: 327178.0, 0.5: 327257.5, 0.6: 327329.0, 0.7: 327358.0, 0.8: 327502.0, 0.9: 327535.0}",337,327272.75
79200,326109,330553,"{0.1: 326572.0, 0.2: 326665.0, 0.3: 326841.0, 0.4: 326888.0, 0.5: 327061.5, 0.6: 329926.0, 0.7: 330235.0, 0.8: 330311.0, 0.9: 330530.0}",882,328229.4166666667
82800,323979,329918,"{0.1: 324013.0, 0.2: 324026.0, 0.3: 324194.0, 0.4: 324220.0, 0.5: 324937.5, 0.6: 326579.0, 0.7: 328334.0, 0.8: 329727.0, 0.9: 329859.0}",238,326227.0
86400,323586,324743,"{0.1: 323710.0, 0.2: 324018.0, 0.3: 324022.0, 0.4: 324043.0, 0.5: 324258.0, 0.6: 324367.0, 0.7: 324423.0, 0.8: 324611.0, 0.9: 324619.0}",528,324221.5
90000,323381,324200,"{0.1: 323444.0, 0.2: 323579.0, 0.3: 323620.0, 0.4: 323656.0, 0.5: 323870.5, 0.6: 323938.0, 0.7: 323942.0, 0.8: 323942.0, 0.9: 324190.0}",384,323802.75
93600,322680,323617,"{0.1: 322699.0, 0.2: 322934.0, 0.3: 323018.0, 0.4: 323047.0, 0.5: 323220.0, 0.6: 323259.0, 0.7: 323438.0, 0.8: 323441.0, 0.9: 323555.0}",547,323177.3333333333
97200,321552,322966,"{0.1: 322112.0, 0.2: 322172.0, 0.3: 322185.0, 0.4: 322224.0, 0.5: 322355.5, 0.6: 322490.0, 0.7: 322600.0, 0.8: 322810.0, 0.9: 322850.0}",389,322389.3333333333
100800,321345,321987,"{0.1: 321366.0, 0.2: 321452.0, 0.3: 321615.0, 0.4: 321710.0, 0.5: 321872.5, 0.6: 321931.0, 0.7: 321933.0, 0.8: 321970.0, 0.9: 321973.0}",706,321752.25
104400,321158,322825,"{0.1: 321170.0, 0.2: 321226.0, 0.3: 321359.0, 0.4: 321530.0, 0.5: 321598.5, 0.6: 321688.0, 0.7: 321933.0, 0.8: 322100.0, 0.9: 322714.0}",610,321741.6666666667
108000,322165,323890,"{0.1: 322332.0, 0.2: 322693.0, 0.3: 322705.0, 0.4: 322845.0, 0.5: 323105.0, 0.6: 323419.0, 0.7: 323425.0, 0.8: 323538.0, 0.9: 323696.0}",861,323076.5
111600,322563,323621,"{0.1: 322862.0, 0.2: 322886.0, 0.3: 322909.0, 0.4: 322943.0, 0.5: 323049.5, 0.6: 323194.0, 0.7: 323202.0, 0.8: 323324.0, 0.9: 323543.0}",478,323095.5
115200,322343,323986,"{0.1: 322645.0, 0.2: 322747.0, 0.3: 322832.0, 0.4: 322888.0, 0.5: 323159.5, 0.6: 323357.0, 0.7: 323471.0, 0.8: 323602.0, 0.9: 323712.0}",677,323158.5
118800,323226,324106,"{0.1: 323520.0, 0.2: 323692.0, 0.3: 323703.0, 0.4: 323831.0, 0.5: 323864.5, 0.6: 323881.0, 0.7: 323948.0, 0.8: 323968.0, 0.9: 324019.0}",594,323801.9166666667
122400,323567,324253,"{0.1: 323662.0, 0.2: 323840.0, 0.3: 323903.0, 0.4: 323981.0, 0.5: 323993.5, 0.6: 324065.0, 0.7: 324086.0, 0.8: 324201.0, 0.9: 324236.0}",550,323981.75
126000,324060,325762,"{0.1: 324082.0, 0.2: 324265.0, 0.3: 324333.0, 0.4: 324411.0, 0.5: 324522.5, 0.6: 325148.0, 0.7: 325281.0, 0.8: 325283.0, 0.9: 325571.0}",604,324770.0833333333
129600,325641,327233,"{0.1: 326152.0, 0.2: 326248.0, 0.3: 326345.0, 0.4: 326372.0, 0.5: 326402.0, 0.6: 326967.0, 0.7: 327101.0, 0.8: 327111.0, 0.9: 327116.0}",653,326590.8333333333
133200,326746,327270,"{0.1: 326881.0, 0.2: 326951.0, 0.3: 326954.0, 0.4: 327060.0, 0.5: 327103.5, 0.6: 327135.0, 0.7: 327140.0, 0.8: 327204.0, 0.9: 327229.0}",486,327064.75
136800,326788,328722,"{0.1: 326821.0, 0.2: 326837.0, 0.3: 327048.0, 0.4: 327088.0, 0.5: 327210.0, 0.6: 328060.0, 0.7: 328508.0, 0.8: 328512.0, 0.9: 328575.0}",644,327614.9166666667
140400,328156,329281,"{0.1: 328215.0, 0.2: 328268.0, 0.3: 328425.0, 0.4: 328438.0, 0.5: 328489.0, 0.6: 328562.0, 0.7: 328754.0, 0.8: 328880.0, 0.9: 328916.0}",715,328572.75
144000,327410,327966,"{0.1: 327464.0, 0.2: 327543.0, 0.3: 327601.0, 0.4: 327603.0, 0.5: 327621.0, 0.6: 327693.0, 0.7: 327726.0, 0.8: 327809.0, 0.9: 327945.0}",465,327666.8333333333
147600,327529,328375,"{0.1: 327550.0, 0.2: 327676.0, 0.3: 327753.0, 0.4: 327801.0, 0.5: 327842.0, 0.6: 327972.0, 0.7: 328114.0, 0.8: 328188.0, 0.9: 328205.0}",600,327903.9166666667
151200,327577,328939,"{0.1: 327723.0, 0.2: 327873.0, 0.3: 327934.0, 0.4: 327954.0, 0.5: 328201.5, 0.6: 328632.0, 0.7: 328634.0, 0.8: 328810.0, 0.9: 328881.0}",668,328280.0
154800,327691,328229,"{0.1: 327693.0, 0.2: 327747.0, 0.3: 327853.0, 0.4: 327945.0, 0.5: 328002.5, 0.6: 328068.0, 0.7: 328141.0, 0.8: 328146.0, 0.9: 328223.0}",462,327978.4166666667
158400,327729,328646,"{0.1: 327773.0, 0.2: 327784.0, 0.3: 327988.0, 0.4: 328120.0, 0.5: 328180.0, 0.6: 328352.0, 0.7: 328369.0, 0.8: 328573.0, 0.9: 328632.0}",667,328193.8333333333
162000,327087,328502,"{0.1: 327385.0, 0.2: 327415.0, 0.3: 327596.0, 0.4: 327598.0, 0.5: 327678.0, 0.6: 327707.0, 0.7: 327876.0, 0.8: 328272.0, 0.9: 328289.0}",446,327756.9166666667
165600,325802,327269,"{0.1: 325914.0, 0.2: 326077.0, 0.3: 326093.0, 0.4: 326329.0, 0.5: 326439.0, 0.6: 326580.0, 0.7: 326614.0, 0.8: 326891.0, 0.9: 326998.0}",485,326453.75
169200,324651,326261,"{0.1: 324697.0, 0.2: 324830.0, 0.3: 325140.0, 0.4: 325247.0, 0.5: 325500.0, 0.6: 325611.0, 0.7: 325966.0, 0.8: 325992.0, 0.9: 326149.0}",421,325462.0
