,minimum,maximum,percentiles,delays,mean
0,323353,324526,"{0.1: 323354.0, 0.2: 323356.0, 0.3: 323371.0, 0.4: 323372.0, 0.5: 323520.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",436,323800.5
3600,322957,323484,"{0.1: 322961.0, 0.2: 322978.0, 0.3: 322979.0, 0.4: 323081.0, 0.5: 323222.5, 0.6: 323356.0, 0.7: 323417.0, 0.8: 323442.0, 0.9: 323478.0}",1877,323214.8333333333
7200,322694,323550,"{0.1: 322736.0, 0.2: 322868.0, 0.3: 322910.0, 0.4: 323173.0, 0.5: 323345.5, 0.6: 323445.0, 0.7: 323451.0, 0.8: 323457.0, 0.9: 323515.0}",3284,323207.5
10800,322595,323551,"{0.1: 322639.0, 0.2: 322659.0, 0.3: 322694.0, 0.4: 322815.0, 0.5: 322938.0, 0.6: 323092.0, 0.7: 323206.0, 0.8: 323481.0, 0.9: 323483.0}",635,323007.5833333333
14400,321927,322364,"{0.1: 321931.0, 0.2: 321937.0, 0.3: 321953.0, 0.4: 322031.0, 0.5: 322066.5, 0.6: 322091.0, 0.7: 322134.0, 0.8: 322142.0, 0.9: 322342.0}",1496,322082.0833333333
18000,322068,322853,"{0.1: 322069.0, 0.2: 322138.0, 0.3: 322147.0, 0.4: 322174.0, 0.5: 322281.0, 0.6: 322301.0, 0.7: 322574.0, 0.8: 322603.0, 0.9: 322818.0}",5504,322358.9166666667
21600,322845,325170,"{0.1: 323054.0, 0.2: 323085.0, 0.3: 323219.0, 0.4: 323285.0, 0.5: 323916.5, 0.6: 324336.0, 0.7: 324397.0, 0.8: 324604.0, 0.9: 324923.0}",6239,323895.9166666667
25200,324282,325044,"{0.1: 324317.0, 0.2: 324326.0, 0.3: 324389.0, 0.4: 324441.0, 0.5: 324618.0, 0.6: 324697.0, 0.7: 324835.0, 0.8: 324856.0, 0.9: 324950.0}",2542,324614.4166666667
28800,322066,324242,"{0.1: 322119.0, 0.2: 322190.0, 0.3: 322540.0, 0.4: 322650.0, 0.5: 322815.5, 0.6: 323557.0, 0.7: 324140.0, 0.8: 324234.0, 0.9: 324239.0}",365,323134.0
32400,321559,322919,"{0.1: 321560.0, 0.2: 321564.0, 0.3: 321577.0, 0.4: 321628.0, 0.5: 321697.0, 0.6: 322041.0, 0.7: 322162.0, 0.8: 322215.0, 0.9: 322532.0}",3272,321929.25
36000,322792,323314,"{0.1: 322840.0, 0.2: 323107.0, 0.3: 323119.0, 0.4: 323167.0, 0.5: 323175.5, 0.6: 323180.0, 0.7: 323186.0, 0.8: 323207.0, 0.9: 323215.0}",4102,323123.1666666667
39600,323253,323684,"{0.1: 323262.0, 0.2: 323321.0, 0.3: 323323.0, 0.4: 323334.0, 0.5: 323385.5, 0.6: 323430.0, 0.7: 323526.0, 0.8: 323642.0, 0.9: 323661.0}",3199,323433.9166666667
43200,323649,325030,"{0.1: 323802.0, 0.2: 324046.0, 0.3: 324051.0, 0.4: 324149.0, 0.5: 324312.0, 0.6: 324519.0, 0.7: 324523.0, 0.8: 324746.0, 0.9: 324957.0}",3498,324341.3333333333
46800,323869,324450,"{0.1: 323874.0, 0.2: 323899.0, 0.3: 323917.0, 0.4: 323918.0, 0.5: 323924.5, 0.6: 323964.0, 0.7: 324176.0, 0.8: 324183.0, 0.9: 324286.0}",1021,324032.0833333333
50400,323912,326651,"{0.1: 323912.0, 0.2: 323912.0, 0.3: 323912.0, 0.4: 323913.0, 0.5: 323917.0, 0.6: 324032.0, 0.7: 324349.0, 0.8: 324820.0, 0.9: 325156.0}",4458,324366.9166666667
54000,326877,327868,"{0.1: 326898.0, 0.2: 326935.0, 0.3: 327002.0, 0.4: 327013.0, 0.5: 327043.0, 0.6: 327151.0, 0.7: 327461.0, 0.8: 327514.0, 0.9: 327645.0}",3148,327204.1666666667
57600,325385,326815,"{0.1: 325393.0, 0.2: 325402.0, 0.3: 325404.0, 0.4: 325456.0, 0.5: 325532.5, 0.6: 325715.0, 0.7: 325790.0, 0.8: 325822.0, 0.9: 326097.0}",2222,325695.3333333333
61200,325512,325732,"{0.1: 325528.0, 0.2: 325547.0, 0.3: 325551.0, 0.4: 325565.0, 0.5: 325618.0, 0.6: 325679.0, 0.7: 325683.0, 0.8: 325715.0, 0.9: 325724.0}",1255,325622.6666666667
64800,325382,327025,"{0.1: 325383.0, 0.2: 325384.0, 0.3: 325391.0, 0.4: 325445.0, 0.5: 325457.5, 0.6: 325835.0, 0.7: 326318.0, 0.8: 326928.0, 0.9: 326996.0}",3937,325916.8333333333
68400,326886,327259,"{0.1: 326887.0, 0.2: 326890.0, 0.3: 326907.0, 0.4: 326923.0, 0.5: 326996.0, 0.6: 327050.0, 0.7: 327051.0, 0.8: 327122.0, 0.9: 327212.0}",2383,327014.9166666667
72000,327139,328083,"{0.1: 327261.0, 0.2: 327325.0, 0.3: 327377.0, 0.4: 327383.0, 0.5: 327589.5, 0.6: 327885.0, 0.7: 327915.0, 0.8: 327927.0, 0.9: 327968.0}",4285,327620.1666666667
75600,327208,327791,"{0.1: 327227.0, 0.2: 327239.0, 0.3: 327257.0, 0.4: 327259.0, 0.5: 327274.0, 0.6: 327319.0, 0.7: 327346.0, 0.8: 327432.0, 0.9: 327778.0}",671,327367.0
79200,326597,330401,"{0.1: 326631.0, 0.2: 326887.0, 0.3: 326909.0, 0.4: 327163.0, 0.5: 327195.5, 0.6: 327215.0, 0.7: 329415.0, 0.8: 330265.0, 0.9: 330295.0}",5522,328014.0833333333
82800,323978,330115,"{0.1: 323995.0, 0.2: 324016.0, 0.3: 324124.0, 0.4: 324207.0, 0.5: 325461.5, 0.6: 327621.0, 0.7: 329413.0, 0.8: 329754.0, 0.9: 329979.0}",419,326510.4166666667
86400,323975,324528,"{0.1: 323975.0, 0.2: 323976.0, 0.3: 323976.0, 0.4: 323978.0, 0.5: 324029.0, 0.6: 324353.0, 0.7: 324420.0, 0.8: 324438.0, 0.9: 324440.0}",3023,324176.4166666667
90000,323592,324369,"{0.1: 323592.0, 0.2: 323676.0, 0.3: 323734.0, 0.4: 323735.0, 0.5: 323764.0, 0.6: 323810.0, 0.7: 323818.0, 0.8: 324157.0, 0.9: 324300.0}",1603,323859.25
93600,322845,323604,"{0.1: 322851.0, 0.2: 322892.0, 0.3: 322894.0, 0.4: 323106.0, 0.5: 323180.0, 0.6: 323328.0, 0.7: 323381.0, 0.8: 323420.0, 0.9: 323596.0}",2868,323189.75
97200,322133,323129,"{0.1: 322134.0, 0.2: 322147.0, 0.3: 322160.0, 0.4: 322192.0, 0.5: 322257.0, 0.6: 322302.0, 0.7: 322471.0, 0.8: 322983.0, 0.9: 323127.0}",1481,322441.0
100800,321622,322136,"{0.1: 321623.0, 0.2: 321629.0, 0.3: 321630.0, 0.4: 321644.0, 0.5: 321673.5, 0.6: 321719.0, 0.7: 321758.0, 0.8: 321991.0, 0.9: 322134.0}",2944,321769.4166666667
104400,321261,322598,"{0.1: 321297.0, 0.2: 321322.0, 0.3: 321430.0, 0.4: 321524.0, 0.5: 321570.0, 0.6: 321622.0, 0.7: 321623.0, 0.8: 321958.0, 0.9: 322564.0}",3716,321694.9166666667
108000,322452,323753,"{0.1: 322460.0, 0.2: 322476.0, 0.3: 322537.0, 0.4: 322567.0, 0.5: 322831.5, 0.6: 323479.0, 0.7: 323500.0, 0.8: 323524.0, 0.9: 323687.0}",6396,323008.1666666667
111600,322775,323481,"{0.1: 322826.0, 0.2: 322863.0, 0.3: 323149.0, 0.4: 323173.0, 0.5: 323195.5, 0.6: 323219.0, 0.7: 323259.0, 0.8: 323332.0, 0.9: 323383.0}",1858,323154.25
115200,322682,323615,"{0.1: 322711.0, 0.2: 322729.0, 0.3: 322786.0, 0.4: 322892.0, 0.5: 322966.0, 0.6: 323051.0, 0.7: 323274.0, 0.8: 323422.0, 0.9: 323606.0}",4222,323058.3333333333
118800,323591,323916,"{0.1: 323692.0, 0.2: 323723.0, 0.3: 323731.0, 0.4: 323740.0, 0.5: 323770.0, 0.6: 323800.0, 0.7: 323806.0, 0.8: 323812.0, 0.9: 323814.0}",3452,323763.75
122400,323879,324111,"{0.1: 323881.0, 0.2: 323884.0, 0.3: 323885.0, 0.4: 323904.0, 0.5: 323926.5, 0.6: 323946.0, 0.7: 324001.0, 0.8: 324020.0, 0.9: 324064.0}",2566,323952.3333333333
