,minimum,maximum,percentiles,delays
0,323167,324526,"{0.1: 323273.0, 0.2: 323284.0, 0.3: 323310.0, 0.4: 323316.0, 0.5: 323520.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",378
3600,322824,323495,"{0.1: 322847.0, 0.2: 322929.0, 0.3: 323023.0, 0.4: 323108.0, 0.5: 323191.5, 0.6: 323316.0, 0.7: 323440.0, 0.8: 323479.0, 0.9: 323484.0}",989
7200,322675,323599,"{0.1: 322736.0, 0.2: 322926.0, 0.3: 322928.0, 0.4: 323227.0, 0.5: 323332.5, 0.6: 323366.0, 0.7: 323368.0, 0.8: 323463.0, 0.9: 323516.0}",1085
10800,322532,323554,"{0.1: 322532.0, 0.2: 322587.0, 0.3: 322593.0, 0.4: 322667.0, 0.5: 322940.0, 0.6: 323127.0, 0.7: 323245.0, 0.8: 323418.0, 0.9: 323483.0}",500
14400,321786,322321,"{0.1: 321881.0, 0.2: 321888.0, 0.3: 321951.0, 0.4: 322032.0, 0.5: 322103.5, 0.6: 322162.0, 0.7: 322181.0, 0.8: 322191.0, 0.9: 322261.0}",1172
18000,322003,322865,"{0.1: 322085.0, 0.2: 322160.0, 0.3: 322188.0, 0.4: 322211.0, 0.5: 322303.5, 0.6: 322323.0, 0.7: 322392.0, 0.8: 322577.0, 0.9: 322847.0}",1876
21600,322847,325182,"{0.1: 323087.0, 0.2: 323101.0, 0.3: 323249.0, 0.4: 323308.0, 0.5: 323925.5, 0.6: 324349.0, 0.7: 324363.0, 0.8: 324617.0, 0.9: 324942.0}",1895
25200,324056,325054,"{0.1: 324196.0, 0.2: 324274.0, 0.3: 324313.0, 0.4: 324440.0, 0.5: 324624.5, 0.6: 324703.0, 0.7: 324843.0, 0.8: 324897.0, 0.9: 324958.0}",1132
28800,321878,324154,"{0.1: 321881.0, 0.2: 322133.0, 0.3: 322430.0, 0.4: 322537.0, 0.5: 322805.0, 0.6: 323662.0, 0.7: 323987.0, 0.8: 323988.0, 0.9: 324106.0}",1259
32400,321359,323002,"{0.1: 321410.0, 0.2: 321411.0, 0.3: 321463.0, 0.4: 321489.0, 0.5: 321651.5, 0.6: 321867.0, 0.7: 322231.0, 0.8: 322264.0, 0.9: 322573.0}",2261
36000,322825,323348,"{0.1: 322850.0, 0.2: 322852.0, 0.3: 322884.0, 0.4: 322958.0, 0.5: 323110.0, 0.6: 323237.0, 0.7: 323248.0, 0.8: 323260.0, 0.9: 323273.0}",1919
39600,323239,323727,"{0.1: 323248.0, 0.2: 323317.0, 0.3: 323328.0, 0.4: 323357.0, 0.5: 323438.0, 0.6: 323505.0, 0.7: 323537.0, 0.8: 323659.0, 0.9: 323695.0}",1890
43200,323642,325025,"{0.1: 323851.0, 0.2: 324064.0, 0.3: 324102.0, 0.4: 324167.0, 0.5: 324309.5, 0.6: 324332.0, 0.7: 324525.0, 0.8: 324864.0, 0.9: 324979.0}",1888
46800,323742,324368,"{0.1: 323813.0, 0.2: 323859.0, 0.3: 323896.0, 0.4: 323955.0, 0.5: 323958.0, 0.6: 323968.0, 0.7: 324092.0, 0.8: 324095.0, 0.9: 324150.0}",1325
50400,323780,326660,"{0.1: 323794.0, 0.2: 323798.0, 0.3: 323800.0, 0.4: 323806.0, 0.5: 323842.5, 0.6: 324150.0, 0.7: 324425.0, 0.8: 324838.0, 0.9: 325201.0}",1894
54000,326745,327879,"{0.1: 326813.0, 0.2: 326891.0, 0.3: 326915.0, 0.4: 327014.0, 0.5: 327070.5, 0.6: 327154.0, 0.7: 327201.0, 0.8: 327547.0, 0.9: 327648.0}",1830
