,minimum,maximum,percentiles,delays,mean
0,323167,324526,"{0.1: 323273.0, 0.2: 323284.0, 0.3: 323310.0, 0.4: 323316.0, 0.5: 323520.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",960,323762.5
3600,322828,323503,"{0.1: 322877.0, 0.2: 322883.0, 0.3: 322908.0, 0.4: 323019.0, 0.5: 323165.5, 0.6: 323316.0, 0.7: 323458.0, 0.8: 323487.0, 0.9: 323499.0}",2921,323175.75
7200,322515,323636,"{0.1: 322710.0, 0.2: 322964.0, 0.3: 322968.0, 0.4: 323074.0, 0.5: 323336.5, 0.6: 323370.0, 0.7: 323416.0, 0.8: 323463.0, 0.9: 323525.0}",4054,323192.8333333333
10800,322559,323558,"{0.1: 322581.0, 0.2: 322596.0, 0.3: 322683.0, 0.4: 322687.0, 0.5: 322780.0, 0.6: 322909.0, 0.7: 323163.0, 0.8: 323419.0, 0.9: 323494.0}",2272,322934.0833333333
14400,321846,322389,"{0.1: 321896.0, 0.2: 321907.0, 0.3: 321965.0, 0.4: 321992.0, 0.5: 322096.0, 0.6: 322159.0, 0.7: 322185.0, 0.8: 322191.0, 0.9: 322274.0}",3101,322083.0
18000,322003,322869,"{0.1: 322089.0, 0.2: 322168.0, 0.3: 322192.0, 0.4: 322211.0, 0.5: 322308.5, 0.6: 322323.0, 0.7: 322401.0, 0.8: 322577.0, 0.9: 322847.0}",5844,322358.0833333333
21600,322848,325183,"{0.1: 323088.0, 0.2: 323103.0, 0.3: 323251.0, 0.4: 323308.0, 0.5: 323926.5, 0.6: 324349.0, 0.7: 324363.0, 0.8: 324617.0, 0.9: 324950.0}",6278,323909.4166666667
25200,324104,325056,"{0.1: 324161.0, 0.2: 324202.0, 0.3: 324219.0, 0.4: 324280.0, 0.5: 324625.0, 0.6: 324703.0, 0.7: 324843.0, 0.8: 324897.0, 0.9: 324959.0}",3471,324556.1666666667
28800,321895,324164,"{0.1: 321924.0, 0.2: 322145.0, 0.3: 322439.0, 0.4: 322577.0, 0.5: 322736.0, 0.6: 323680.0, 0.7: 324002.0, 0.8: 324028.0, 0.9: 324138.0}",3021,323038.6666666667
32400,321380,323002,"{0.1: 321418.0, 0.2: 321420.0, 0.3: 321467.0, 0.4: 321493.0, 0.5: 321653.0, 0.6: 321867.0, 0.7: 322231.0, 0.8: 322267.0, 0.9: 322577.0}",5487,321869.0
