,minimum,maximum,percentiles,delays
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0
3600,322952,323583,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323494.0, 0.7: 323575.0, 0.8: 323576.0, 0.9: 323582.0}",44
7200,322623,323677,"{0.1: 323045.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323310.0, 0.5: 323498.0, 0.6: 323560.0, 0.7: 323560.0, 0.8: 323574.0, 0.9: 323601.0}",256
10800,322516,323608,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322768.0, 0.5: 322845.5, 0.6: 322966.0, 0.7: 323027.0, 0.8: 323307.0, 0.9: 323546.0}",0
14400,321920,322318,"{0.1: 321933.0, 0.2: 321948.0, 0.3: 322032.0, 0.4: 322089.0, 0.5: 322121.5, 0.6: 322220.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322308.0}",0
18000,322071,322707,"{0.1: 322236.0, 0.2: 322300.0, 0.3: 322310.0, 0.4: 322310.0, 0.5: 322319.5, 0.6: 322357.0, 0.7: 322435.0, 0.8: 322497.0, 0.9: 322700.0}",3336
21600,322681,325150,"{0.1: 322999.0, 0.2: 323061.0, 0.3: 323180.0, 0.4: 323219.0, 0.5: 323882.5, 0.6: 324316.0, 0.7: 324340.0, 0.8: 324588.0, 0.9: 324909.0}",6278
25200,324259,325040,"{0.1: 324364.0, 0.2: 324368.0, 0.3: 324388.0, 0.4: 324509.0, 0.5: 324541.0, 0.6: 324670.0, 0.7: 324699.0, 0.8: 324942.0, 0.9: 324964.0}",1988
28800,322065,324345,"{0.1: 322177.0, 0.2: 322230.0, 0.3: 322495.0, 0.4: 322672.0, 0.5: 322786.5, 0.6: 323554.0, 0.7: 324075.0, 0.8: 324174.0, 0.9: 324217.0}",0
32400,321572,322805,"{0.1: 321590.0, 0.2: 321617.0, 0.3: 321633.0, 0.4: 321702.0, 0.5: 322057.5, 0.6: 322316.0, 0.7: 322444.0, 0.8: 322563.0, 0.9: 322639.0}",876
36000,322709,323278,"{0.1: 322753.0, 0.2: 323017.0, 0.3: 323075.0, 0.4: 323081.0, 0.5: 323114.5, 0.6: 323116.0, 0.7: 323155.0, 0.8: 323186.0, 0.9: 323198.0}",3857
39600,323237,323647,"{0.1: 323237.0, 0.2: 323302.0, 0.3: 323321.0, 0.4: 323322.0, 0.5: 323351.0, 0.6: 323389.0, 0.7: 323522.0, 0.8: 323621.0, 0.9: 323640.0}",3008
43200,323589,325011,"{0.1: 323788.0, 0.2: 324033.0, 0.3: 324040.0, 0.4: 324124.0, 0.5: 324295.0, 0.6: 324512.0, 0.7: 324520.0, 0.8: 324647.0, 0.9: 324955.0}",3543
46800,323888,324432,"{0.1: 323939.0, 0.2: 323953.0, 0.3: 323956.0, 0.4: 324008.0, 0.5: 324058.5, 0.6: 324095.0, 0.7: 324182.0, 0.8: 324183.0, 0.9: 324256.0}",0
50400,323821,326636,"{0.1: 323861.0, 0.2: 323873.0, 0.3: 323912.0, 0.4: 323995.0, 0.5: 324061.5, 0.6: 324108.0, 0.7: 324303.0, 0.8: 324790.0, 0.9: 325131.0}",3611
54000,326692,327853,"{0.1: 326841.0, 0.2: 326866.0, 0.3: 326946.0, 0.4: 327008.0, 0.5: 327021.0, 0.6: 327115.0, 0.7: 327460.0, 0.8: 327538.0, 0.9: 327625.0}",3440
57600,325481,326817,"{0.1: 325520.0, 0.2: 325542.0, 0.3: 325575.0, 0.4: 325581.0, 0.5: 325713.5, 0.6: 325840.0, 0.7: 325886.0, 0.8: 325964.0, 0.9: 325971.0}",0
61200,325406,325800,"{0.1: 325497.0, 0.2: 325514.0, 0.3: 325525.0, 0.4: 325560.0, 0.5: 325634.0, 0.6: 325698.0, 0.7: 325717.0, 0.8: 325719.0, 0.9: 325764.0}",0
64800,325184,326983,"{0.1: 325369.0, 0.2: 325370.0, 0.3: 325394.0, 0.4: 325396.0, 0.5: 325586.5, 0.6: 325775.0, 0.7: 326238.0, 0.8: 326869.0, 0.9: 326907.0}",3313
68400,326870,327292,"{0.1: 326896.0, 0.2: 326985.0, 0.3: 326991.0, 0.4: 327016.0, 0.5: 327042.5, 0.6: 327112.0, 0.7: 327151.0, 0.8: 327237.0, 0.9: 327277.0}",1340
72000,327226,328014,"{0.1: 327232.0, 0.2: 327244.0, 0.3: 327269.0, 0.4: 327296.0, 0.5: 327495.0, 0.6: 327731.0, 0.7: 327767.0, 0.8: 327851.0, 0.9: 327951.0}",4250
75600,327166,327806,"{0.1: 327185.0, 0.2: 327229.0, 0.3: 327277.0, 0.4: 327282.0, 0.5: 327306.5, 0.6: 327412.0, 0.7: 327441.0, 0.8: 327561.0, 0.9: 327769.0}",27
79200,326583,330380,"{0.1: 326863.0, 0.2: 326884.0, 0.3: 326927.0, 0.4: 327143.0, 0.5: 327306.0, 0.6: 327448.0, 0.7: 329383.0, 0.8: 330206.0, 0.9: 330222.0}",4390
82800,323951,329998,"{0.1: 324029.0, 0.2: 324156.0, 0.3: 324198.0, 0.4: 324246.0, 0.5: 325271.0, 0.6: 327358.0, 0.7: 329144.0, 0.8: 329682.0, 0.9: 329828.0}",339
86400,323912,324746,"{0.1: 323958.0, 0.2: 323974.0, 0.3: 324164.0, 0.4: 324183.0, 0.5: 324332.0, 0.6: 324538.0, 0.7: 324572.0, 0.8: 324630.0, 0.9: 324696.0}",0
90000,323568,324258,"{0.1: 323574.0, 0.2: 323593.0, 0.3: 323740.0, 0.4: 323742.0, 0.5: 323912.5, 0.6: 323924.0, 0.7: 323936.0, 0.8: 323981.0, 0.9: 324168.0}",0
93600,322763,323806,"{0.1: 322899.0, 0.2: 322991.0, 0.3: 322998.0, 0.4: 323201.0, 0.5: 323244.5, 0.6: 323342.0, 0.7: 323402.0, 0.8: 323518.0, 0.9: 323561.0}",0
97200,321893,322986,"{0.1: 322109.0, 0.2: 322182.0, 0.3: 322274.0, 0.4: 322290.0, 0.5: 322334.0, 0.6: 322418.0, 0.7: 322510.0, 0.8: 322818.0, 0.9: 322893.0}",0
100800,321510,322315,"{0.1: 321557.0, 0.2: 321615.0, 0.3: 321616.0, 0.4: 321706.0, 0.5: 321824.0, 0.6: 321861.0, 0.7: 321879.0, 0.8: 321882.0, 0.9: 321885.0}",0
104400,321066,322459,"{0.1: 321163.0, 0.2: 321360.0, 0.3: 321431.0, 0.4: 321545.0, 0.5: 321596.0, 0.6: 321604.0, 0.7: 321839.0, 0.8: 321866.0, 0.9: 322440.0}",1748
108000,322268,323735,"{0.1: 322321.0, 0.2: 322323.0, 0.3: 322426.0, 0.4: 322441.0, 0.5: 322791.5, 0.6: 323154.0, 0.7: 323235.0, 0.8: 323483.0, 0.9: 323626.0}",7112
111600,322745,323593,"{0.1: 322857.0, 0.2: 322901.0, 0.3: 323067.0, 0.4: 323178.0, 0.5: 323349.0, 0.6: 323391.0, 0.7: 323397.0, 0.8: 323493.0, 0.9: 323550.0}",653
115200,322601,323545,"{0.1: 322847.0, 0.2: 322941.0, 0.3: 322978.0, 0.4: 323134.0, 0.5: 323236.0, 0.6: 323415.0, 0.7: 323431.0, 0.8: 323434.0, 0.9: 323440.0}",1131
118800,323512,323855,"{0.1: 323618.0, 0.2: 323629.0, 0.3: 323659.0, 0.4: 323695.0, 0.5: 323718.0, 0.6: 323731.0, 0.7: 323774.0, 0.8: 323804.0, 0.9: 323815.0}",3109
122400,323858,324057,"{0.1: 323872.0, 0.2: 323890.0, 0.3: 323898.0, 0.4: 323901.0, 0.5: 323917.5, 0.6: 323933.0, 0.7: 323960.0, 0.8: 323964.0, 0.9: 324030.0}",2273
126000,324102,325496,"{0.1: 324140.0, 0.2: 324174.0, 0.3: 324215.0, 0.4: 324239.0, 0.5: 324415.0, 0.6: 324791.0, 0.7: 325190.0, 0.8: 325194.0, 0.9: 325194.0}",4017
129600,325688,327059,"{0.1: 325750.0, 0.2: 326244.0, 0.3: 326278.0, 0.4: 326295.0, 0.5: 326332.0, 0.6: 326854.0, 0.7: 327024.0, 0.8: 327038.0, 0.9: 327050.0}",3423
133200,326900,327229,"{0.1: 327099.0, 0.2: 327101.0, 0.3: 327129.0, 0.4: 327140.0, 0.5: 327155.0, 0.6: 327175.0, 0.7: 327177.0, 0.8: 327198.0, 0.9: 327226.0}",1263
136800,327042,328258,"{0.1: 327050.0, 0.2: 327095.0, 0.3: 327114.0, 0.4: 327174.0, 0.5: 327194.5, 0.6: 327205.0, 0.7: 328002.0, 0.8: 328134.0, 0.9: 328190.0}",3587
140400,328262,328988,"{0.1: 328268.0, 0.2: 328474.0, 0.3: 328545.0, 0.4: 328571.0, 0.5: 328594.5, 0.6: 328617.0, 0.7: 328653.0, 0.8: 328779.0, 0.9: 328798.0}",3669
144000,327606,327955,"{0.1: 327625.0, 0.2: 327633.0, 0.3: 327644.0, 0.4: 327711.0, 0.5: 327787.0, 0.6: 327850.0, 0.7: 327897.0, 0.8: 327905.0, 0.9: 327919.0}",0
147600,327665,327998,"{0.1: 327738.0, 0.2: 327765.0, 0.3: 327806.0, 0.4: 327889.0, 0.5: 327906.0, 0.6: 327949.0, 0.7: 327953.0, 0.8: 327963.0, 0.9: 327973.0}",1343
151200,327983,328698,"{0.1: 327991.0, 0.2: 327994.0, 0.3: 328001.0, 0.4: 328010.0, 0.5: 328025.0, 0.6: 328560.0, 0.7: 328589.0, 0.8: 328622.0, 0.9: 328688.0}",2947
154800,327641,328478,"{0.1: 327881.0, 0.2: 327908.0, 0.3: 327913.0, 0.4: 327938.0, 0.5: 328029.0, 0.6: 328087.0, 0.7: 328110.0, 0.8: 328262.0, 0.9: 328331.0}",0
