,minimum,maximum,percentiles,delays,mean
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0,323833.6666666667
3600,322952,323619,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323583.0}",0,323320.0
7200,322617,323766,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323308.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323560.0, 0.8: 323593.0, 0.9: 323716.0}",0,323355.75
10800,322514,323572,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323027.0, 0.8: 323306.0, 0.9: 323529.0}",0,322940.0
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322089.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0,322122.4166666667
18000,322071,322844,"{0.1: 322236.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322493.0, 0.6: 322585.0, 0.7: 322652.0, 0.8: 322719.0, 0.9: 322785.0}",1410,322491.4166666667
21600,322910,325068,"{0.1: 323000.0, 0.2: 323099.0, 0.3: 323203.0, 0.4: 323309.0, 0.5: 323834.5, 0.6: 324681.0, 0.7: 324830.0, 0.8: 324845.0, 0.9: 324876.0}",4019,323957.5
25200,324202,325122,"{0.1: 324256.0, 0.2: 324269.0, 0.3: 324316.0, 0.4: 324407.0, 0.5: 324657.5, 0.6: 324883.0, 0.7: 324899.0, 0.8: 325003.0, 0.9: 325068.0}",0,324645.0
28800,322000,324209,"{0.1: 322030.0, 0.2: 322173.0, 0.3: 322421.0, 0.4: 322613.0, 0.5: 322753.0, 0.6: 322944.0, 0.7: 324031.0, 0.8: 324037.0, 0.9: 324127.0}",0,323007.5833333333
32400,321558,322989,"{0.1: 321570.0, 0.2: 321586.0, 0.3: 321611.0, 0.4: 321684.0, 0.5: 321936.0, 0.6: 322314.0, 0.7: 322440.0, 0.8: 322705.0, 0.9: 322966.0}",125,322107.9166666667
36000,322874,323592,"{0.1: 322930.0, 0.2: 323096.0, 0.3: 323149.0, 0.4: 323253.0, 0.5: 323281.0, 0.6: 323393.0, 0.7: 323424.0, 0.8: 323455.0, 0.9: 323477.0}",115,323267.0833333333
39600,323326,323735,"{0.1: 323370.0, 0.2: 323407.0, 0.3: 323443.0, 0.4: 323462.0, 0.5: 323538.5, 0.6: 323693.0, 0.7: 323694.0, 0.8: 323698.0, 0.9: 323730.0}",51,323552.9166666667
43200,323860,324946,"{0.1: 324004.0, 0.2: 324029.0, 0.3: 324079.0, 0.4: 324154.0, 0.5: 324281.0, 0.6: 324439.0, 0.7: 324463.0, 0.8: 324464.0, 0.9: 324892.0}",2051,324324.3333333333
46800,323840,324365,"{0.1: 323906.0, 0.2: 323911.0, 0.3: 323945.0, 0.4: 323995.0, 0.5: 323998.0, 0.6: 324078.0, 0.7: 324081.0, 0.8: 324163.0, 0.9: 324218.0}",0,324041.5
50400,323782,326595,"{0.1: 323823.0, 0.2: 323852.0, 0.3: 323890.0, 0.4: 323966.0, 0.5: 324091.5, 0.6: 324186.0, 0.7: 324275.0, 0.8: 324772.0, 0.9: 325093.0}",3350,324368.0833333333
54000,326791,327975,"{0.1: 326818.0, 0.2: 326844.0, 0.3: 326999.0, 0.4: 327052.0, 0.5: 327173.5, 0.6: 327302.0, 0.7: 327636.0, 0.8: 327662.0, 0.9: 327951.0}",894,327281.4166666667
57600,325440,326657,"{0.1: 325453.0, 0.2: 325476.0, 0.3: 325478.0, 0.4: 325509.0, 0.5: 325628.5, 0.6: 325788.0, 0.7: 325831.0, 0.8: 325947.0, 0.9: 325952.0}",0,325732.3333333333
61200,325412,325777,"{0.1: 325457.0, 0.2: 325475.0, 0.3: 325490.0, 0.4: 325499.0, 0.5: 325570.0, 0.6: 325638.0, 0.7: 325638.0, 0.8: 325669.0, 0.9: 325693.0}",0,325574.0
64800,324946,326933,"{0.1: 325328.0, 0.2: 325364.0, 0.3: 325382.0, 0.4: 325391.0, 0.5: 325666.5, 0.6: 325915.0, 0.7: 326214.0, 0.8: 326853.0, 0.9: 326893.0}",2976,325879.3333333333
68400,326773,327473,"{0.1: 326830.0, 0.2: 326899.0, 0.3: 326910.0, 0.4: 326946.0, 0.5: 327121.0, 0.6: 327250.0, 0.7: 327283.0, 0.8: 327312.0, 0.9: 327337.0}",253,327104.5833333333
72000,327473,328041,"{0.1: 327479.0, 0.2: 327480.0, 0.3: 327482.0, 0.4: 327632.0, 0.5: 327714.5, 0.6: 327797.0, 0.7: 327870.0, 0.8: 327897.0, 0.9: 327983.0}",402,327713.5833333333
75600,327092,327648,"{0.1: 327117.0, 0.2: 327182.0, 0.3: 327209.0, 0.4: 327213.0, 0.5: 327229.0, 0.6: 327284.0, 0.7: 327324.0, 0.8: 327392.0, 0.9: 327475.0}",0,327282.8333333333
79200,326492,330350,"{0.1: 326756.0, 0.2: 326846.0, 0.3: 326883.0, 0.4: 327128.0, 0.5: 327336.5, 0.6: 327656.0, 0.7: 329330.0, 0.8: 330120.0, 0.9: 330188.0}",3934,328035.1666666667
82800,323914,330044,"{0.1: 323982.0, 0.2: 324118.0, 0.3: 324159.0, 0.4: 324190.0, 0.5: 325107.5, 0.6: 327007.0, 0.7: 328947.0, 0.8: 329717.0, 0.9: 329929.0}",0,326351.8333333333
86400,323870,324677,"{0.1: 323915.0, 0.2: 323965.0, 0.3: 324096.0, 0.4: 324141.0, 0.5: 324306.5, 0.6: 324505.0, 0.7: 324534.0, 0.8: 324620.0, 0.9: 324645.0}",0,324298.4166666667
90000,323522,324232,"{0.1: 323541.0, 0.2: 323549.0, 0.3: 323703.0, 0.4: 323720.0, 0.5: 323878.0, 0.6: 323901.0, 0.7: 323903.0, 0.8: 323961.0, 0.9: 324111.0}",0,323824.9166666667
